"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-1991","        0.00","        0.00","        0.00","      318.95","-","-"
"03-Jan-1991","        0.00","        0.00","        0.00","      314.01","-","-"
"07-Jan-1991","        0.00","        0.00","        0.00","      318.12","-","-"
"09-Jan-1991","        0.00","        0.00","        0.00","      321.49","-","-"
"11-Jan-1991","        0.00","        0.00","        0.00","      326.37","-","-"
"14-Jan-1991","        0.00","        0.00","        0.00","      323.42","-","-"
"23-Jan-1991","        0.00","        0.00","        0.00","      319.49","-","-"
"24-Jan-1991","        0.00","        0.00","        0.00","      312.07","-","-"
"25-Jan-1991","        0.00","        0.00","        0.00","      306.22","-","-"
"31-Jan-1991","        0.00","        0.00","        0.00","      314.36","-","-"
"01-Feb-1991","        0.00","        0.00","        0.00","      324.29","-","-"
"04-Feb-1991","        0.00","        0.00","        0.00","      334.83","-","-"
"05-Feb-1991","        0.00","        0.00","        0.00","      339.98","-","-"
"06-Feb-1991","        0.00","        0.00","        0.00","      338.21","-","-"
"07-Feb-1991","        0.00","        0.00","        0.00","      330.40","-","-"
"08-Feb-1991","        0.00","        0.00","        0.00","      329.50","-","-"
"11-Feb-1991","        0.00","        0.00","        0.00","      324.61","-","-"
"13-Feb-1991","        0.00","        0.00","        0.00","      322.24","-","-"
"14-Feb-1991","        0.00","        0.00","        0.00","      326.76","-","-"
"15-Feb-1991","        0.00","        0.00","        0.00","      331.06","-","-"
"19-Feb-1991","        0.00","        0.00","        0.00","      361.63","-","-"
"20-Feb-1991","        0.00","        0.00","        0.00","      360.52","-","-"
"21-Feb-1991","        0.00","        0.00","        0.00","      362.78","-","-"
"22-Feb-1991","        0.00","        0.00","        0.00","      369.57","-","-"
"25-Feb-1991","        0.00","        0.00","        0.00","      369.03","-","-"
"26-Feb-1991","        0.00","        0.00","        0.00","      377.39","-","-"
"27-Feb-1991","        0.00","        0.00","        0.00","      379.84","-","-"
"28-Feb-1991","        0.00","        0.00","        0.00","      379.94","-","-"
"04-Mar-1991","        0.00","        0.00","        0.00","      381.50","-","-"
"05-Mar-1991","        0.00","        0.00","        0.00","      385.62","-","-"
"07-Mar-1991","        0.00","        0.00","        0.00","      361.30","-","-"
"08-Mar-1991","        0.00","        0.00","        0.00","      371.44","-","-"
"11-Mar-1991","        0.00","        0.00","        0.00","      367.66","-","-"
"12-Mar-1991","        0.00","        0.00","        0.00","      365.41","-","-"
"13-Mar-1991","        0.00","        0.00","        0.00","      364.09","-","-"
"14-Mar-1991","        0.00","        0.00","        0.00","      375.52","-","-"
"15-Mar-1991","        0.00","        0.00","        0.00","      375.79","-","-"
"18-Mar-1991","        0.00","        0.00","        0.00","      367.04","-","-"
"20-Mar-1991","        0.00","        0.00","        0.00","      367.41","-","-"
"21-Mar-1991","        0.00","        0.00","        0.00","      364.74","-","-"
"22-Mar-1991","        0.00","        0.00","        0.00","      366.46","-","-"
"25-Mar-1991","        0.00","        0.00","        0.00","      361.79","-","-"
"26-Mar-1991","        0.00","        0.00","        0.00","      365.44","-","-"
"27-Mar-1991","        0.00","        0.00","        0.00","      366.45","-","-"
"01-Apr-1991","        0.00","        0.00","        0.00","      372.70","-","-"
"02-Apr-1991","        0.00","        0.00","        0.00","      377.36","-","-"
"03-Apr-1991","        0.00","        0.00","        0.00","      376.92","-","-"
"04-Apr-1991","        0.00","        0.00","        0.00","      375.41","-","-"
"05-Apr-1991","        0.00","        0.00","        0.00","      380.57","-","-"
"08-Apr-1991","        0.00","        0.00","        0.00","      387.00","-","-"
"09-Apr-1991","        0.00","        0.00","        0.00","      387.57","-","-"
"11-Apr-1991","        0.00","        0.00","        0.00","      393.43","-","-"
"12-Apr-1991","        0.00","        0.00","        0.00","      402.40","-","-"
"15-Apr-1991","        0.00","        0.00","        0.00","      406.93","-","-"
"16-Apr-1991","        0.00","        0.00","        0.00","      398.33","-","-"
"18-Apr-1991","        0.00","        0.00","        0.00","      397.28","-","-"
"19-Apr-1991","        0.00","        0.00","        0.00","      403.38","-","-"
"22-Apr-1991","        0.00","        0.00","        0.00","      404.75","-","-"
"23-Apr-1991","        0.00","        0.00","        0.00","      401.78","-","-"
"24-Apr-1991","        0.00","        0.00","        0.00","      400.44","-","-"
"25-Apr-1991","        0.00","        0.00","        0.00","      404.76","-","-"
"26-Apr-1991","        0.00","        0.00","        0.00","      401.53","-","-"
"29-Apr-1991","        0.00","        0.00","        0.00","      396.88","-","-"
"30-Apr-1991","        0.00","        0.00","        0.00","      389.01","-","-"
"03-May-1991","        0.00","        0.00","        0.00","      397.15","-","-"
"06-May-1991","        0.00","        0.00","        0.00","      392.35","-","-"
"07-May-1991","        0.00","        0.00","        0.00","      392.26","-","-"
"08-May-1991","        0.00","        0.00","        0.00","      395.04","-","-"
"09-May-1991","        0.00","        0.00","        0.00","      393.33","-","-"
"10-May-1991","        0.00","        0.00","        0.00","      400.40","-","-"
"13-May-1991","        0.00","        0.00","        0.00","      400.38","-","-"
"14-May-1991","        0.00","        0.00","        0.00","      400.56","-","-"
"16-May-1991","        0.00","        0.00","        0.00","      399.49","-","-"
"17-May-1991","        0.00","        0.00","        0.00","      401.58","-","-"
"20-May-1991","        0.00","        0.00","        0.00","      398.68","-","-"
"21-May-1991","        0.00","        0.00","        0.00","      408.66","-","-"
"23-May-1991","        0.00","        0.00","        0.00","      407.19","-","-"
"27-May-1991","        0.00","        0.00","        0.00","      408.19","-","-"
"29-May-1991","        0.00","        0.00","        0.00","      410.37","-","-"
"30-May-1991","        0.00","        0.00","        0.00","      411.86","-","-"
"31-May-1991","        0.00","        0.00","        0.00","      403.18","-","-"
"03-Jun-1991","        0.00","        0.00","        0.00","      400.02","-","-"
"04-Jun-1991","        0.00","        0.00","        0.00","      399.75","-","-"
"05-Jun-1991","        0.00","        0.00","        0.00","      398.38","-","-"
"06-Jun-1991","        0.00","        0.00","        0.00","      394.99","-","-"
"07-Jun-1991","        0.00","        0.00","        0.00","      386.92","-","-"
"11-Jun-1991","        0.00","        0.00","        0.00","      390.28","-","-"
"12-Jun-1991","        0.00","        0.00","        0.00","      396.91","-","-"
"13-Jun-1991","        0.00","        0.00","        0.00","      393.72","-","-"
"14-Jun-1991","        0.00","        0.00","        0.00","      397.78","-","-"
"17-Jun-1991","        0.00","        0.00","        0.00","      402.59","-","-"
"18-Jun-1991","        0.00","        0.00","        0.00","      408.77","-","-"
"19-Jun-1991","        0.00","        0.00","        0.00","      407.49","-","-"
"20-Jun-1991","        0.00","        0.00","        0.00","      409.32","-","-"
"21-Jun-1991","        0.00","        0.00","        0.00","      415.83","-","-"
"24-Jun-1991","        0.00","        0.00","        0.00","      400.83","-","-"
"25-Jun-1991","        0.00","        0.00","        0.00","      398.76","-","-"
"26-Jun-1991","        0.00","        0.00","        0.00","      392.35","-","-"
"27-Jun-1991","        0.00","        0.00","        0.00","      396.25","-","-"
"28-Jun-1991","        0.00","        0.00","        0.00","      391.96","-","-"
"01-Jul-1991","        0.00","        0.00","        0.00","      393.60","-","-"
"02-Jul-1991","        0.00","        0.00","        0.00","      394.90","-","-"
"03-Jul-1991","        0.00","        0.00","        0.00","      399.85","-","-"
"04-Jul-1991","        0.00","        0.00","        0.00","      397.07","-","-"
