"Date","P/E","P/B","Div Yield"
"01-Jan-2002","       15.29","        2.39","        1.47"
"02-Jan-2002","       15.37","        2.42","        1.46"
"03-Jan-2002","       15.54","        2.47","        1.42"
"04-Jan-2002","       15.89","        2.48","        1.41"
"07-Jan-2002","       15.94","        2.50","        1.40"
"08-Jan-2002","       16.09","        2.49","        1.41"
"09-Jan-2002","       15.98","        2.48","        1.42"
"10-Jan-2002","       15.91","        2.46","        1.44"
"11-Jan-2002","       15.78","        2.50","        1.41"
"14-Jan-2002","       16.08","        2.47","        1.43"
"15-Jan-2002","       15.61","        2.46","        1.43"
"16-Jan-2002","       15.56","        2.82","        1.23"
"17-Jan-2002","       17.57","        2.78","        1.25"
"18-Jan-2002","       17.32","        2.83","        1.25"
"21-Jan-2002","       17.29","        2.83","        1.25"
"22-Jan-2002","       17.31","        2.83","        1.25"
"23-Jan-2002","       17.26","        2.81","        1.26"
"24-Jan-2002","       17.19","        2.79","        1.26"
"25-Jan-2002","       17.06","        2.76","        1.27"
"28-Jan-2002","       16.93","        2.76","        1.27"
"29-Jan-2002","       16.93","        2.75","        1.27"
"30-Jan-2002","       16.87","        2.77","        1.26"
"31-Jan-2002","       16.99","        2.79","        1.26"
"01-Feb-2002","       17.42","        2.79","        1.26"
"04-Feb-2002","       17.34","        2.78","        1.26"
"05-Feb-2002","       17.30","        2.77","        1.27"
"06-Feb-2002","       17.92","        2.87","        1.35"
"07-Feb-2002","       17.88","        2.86","        1.35"
"08-Feb-2002","       18.09","        2.90","        1.33"
"11-Feb-2002","       18.22","        2.92","        1.33"
"12-Feb-2002","       18.19","        2.91","        1.33"
"13-Feb-2002","       18.28","        2.93","        1.32"
"14-Feb-2002","       18.52","        2.96","        1.30"
"15-Feb-2002","       18.68","        2.99","        1.29"
"18-Feb-2002","       18.88","        3.02","        1.28"
"19-Feb-2002","       18.66","        2.99","        1.29"
"20-Feb-2002","       18.44","        2.95","        1.31"
"21-Feb-2002","       18.50","        2.96","        1.30"
"22-Feb-2002","       18.72","        3.00","        1.29"
"25-Feb-2002","       18.76","        3.00","        1.30"
"26-Feb-2002","       19.14","        3.07","        1.27"
"27-Feb-2002","       19.14","        3.07","        1.27"
"28-Feb-2002","       18.38","        2.94","        1.33"
"01-Mar-2002","       18.96","        3.04","        1.29"
"04-Mar-2002","       18.97","        3.03","        1.29"
"05-Mar-2002","       18.99","        3.03","        1.28"
"06-Mar-2002","       18.79","        3.02","        1.29"
"07-Mar-2002","       19.11","        3.07","        1.27"
"08-Mar-2002","       19.03","        3.06","        1.27"
"11-Mar-2002","       18.71","        3.01","        1.30"
"12-Mar-2002","       18.43","        2.96","        1.32"
"13-Mar-2002","       18.54","        2.98","        1.31"
"14-Mar-2002","       18.58","        2.99","        1.31"
"15-Mar-2002","       18.74","        3.01","        1.29"
"18-Mar-2002","       18.73","        3.01","        1.29"
"19-Mar-2002","       18.46","        2.97","        1.31"
"20-Mar-2002","       18.51","        2.98","        1.31"
"21-Mar-2002","       18.33","        2.95","        1.32"
"22-Mar-2002","       18.24","        2.93","        1.33"
"26-Mar-2002","       17.99","        2.89","        1.35"
"27-Mar-2002","       18.00","        2.89","        1.35"
"28-Mar-2002","       18.10","        2.91","        1.34"
"01-Apr-2002","       18.25","        2.93","        1.33"
"02-Apr-2002","       18.22","        2.93","        1.33"
"03-Apr-2002","       18.00","        2.89","        1.35"
"04-Apr-2002","       18.36","        2.95","        1.33"
"05-Apr-2002","       18.30","        2.94","        1.21"
"08-Apr-2002","       17.91","        2.90","        1.38"
"09-Apr-2002","       17.78","        2.88","        1.39"
"10-Apr-2002","       18.01","        2.91","        1.37"
"11-Apr-2002","       18.09","        2.93","        1.36"
"12-Apr-2002","       18.14","        2.93","        1.36"
"15-Apr-2002","       17.94","        2.90","        1.37"
"16-Apr-2002","       17.70","        2.86","        1.39"
"17-Apr-2002","       17.80","        2.88","        1.38"
"18-Apr-2002","       18.49","        2.94","        1.38"
"19-Apr-2002","       18.02","        2.86","        1.42"
"22-Apr-2002","       18.02","        2.87","        1.41"
"23-Apr-2002","       18.05","        2.88","        1.41"
"24-Apr-2002","       18.16","        2.86","        1.40"
"25-Apr-2002","       17.85","        2.82","        1.42"
"26-Apr-2002","       17.90","        2.83","        1.41"
"29-Apr-2002","       17.69","        2.80","        1.44"
"30-Apr-2002","       17.86","        2.83","        1.42"
"02-May-2002","       18.08","        2.93","        1.41"
"03-May-2002","       18.04","        2.80","        1.38"
"06-May-2002","       18.10","        2.81","        1.38"
"07-May-2002","       18.26","        2.84","        1.39"
"08-May-2002","       18.38","        2.86","        1.38"
"09-May-2002","       18.54","        2.88","        1.37"
"10-May-2002","       18.36","        2.85","        1.36"
"13-May-2002","       18.16","        2.86","        1.36"
"14-May-2002","       17.99","        2.84","        1.36"
"15-May-2002","       17.87","        2.82","        1.37"
"16-May-2002","       17.63","        2.78","        1.39"
"17-May-2002","       17.49","        2.81","        1.39"
"20-May-2002","       17.23","        2.76","        1.41"
"21-May-2002","       16.82","        2.70","        1.47"
"22-May-2002","       16.60","        2.73","        1.47"
"23-May-2002","       16.31","        2.68","        1.50"
"24-May-2002","       16.95","        2.79","        1.32"
"27-May-2002","       16.88","        2.78","        1.33"
"28-May-2002","       16.49","        2.71","        1.41"
"29-May-2002","       16.54","        2.72","        1.44"
"30-May-2002","       16.72","        2.81","        1.48"
"31-May-2002","       16.19","        3.07","        1.39"
"03-Jun-2002","       16.39","        3.11","        1.39"
"04-Jun-2002","       16.48","        3.13","        1.38"
"05-Jun-2002","       16.78","        3.19","        1.36"
"06-Jun-2002","       16.42","        3.21","        1.36"
"07-Jun-2002","       16.18","        3.16","        1.38"
"10-Jun-2002","       16.51","        3.23","        1.35"
"11-Jun-2002","       16.93","        3.31","        1.35"
"12-Jun-2002","       16.87","        3.30","        1.39"
"13-Jun-2002","       16.72","        3.27","        1.40"
"14-Jun-2002","       16.74","        3.30","        1.31"
"17-Jun-2002","       16.80","        3.32","        1.31"
"18-Jun-2002","       16.58","        3.28","        1.33"
"19-Jun-2002","       16.40","        3.24","        1.35"
"20-Jun-2002","       15.86","        3.24","        1.36"
"21-Jun-2002","       15.75","        3.22","        1.31"
"24-Jun-2002","       15.74","        3.22","        1.32"
"25-Jun-2002","       15.64","        3.20","        1.32"
"26-Jun-2002","       15.48","        3.17","        1.35"
"27-Jun-2002","       15.56","        3.18","        1.35"
"28-Jun-2002","       15.73","        3.20","        1.34"
"01-Jul-2002","       15.90","        2.67","        2.01"
"02-Jul-2002","       15.88","        2.66","        2.01"
"03-Jul-2002","       15.91","        2.67","        2.01"
"04-Jul-2002","       15.92","        2.67","        2.01"
"05-Jul-2002","       15.97","        2.68","        2.00"
"08-Jul-2002","       16.09","        2.70","        1.99"
"09-Jul-2002","       16.07","        2.69","        1.99"
"10-Jul-2002","       15.94","        2.67","        2.01"
"11-Jul-2002","       15.71","        2.64","        2.03"
"12-Jul-2002","       15.74","        2.64","        2.03"
"15-Jul-2002","       15.59","        2.61","        2.05"
"16-Jul-2002","       15.41","        2.58","        2.08"
"17-Jul-2002","       15.36","        2.58","        2.08"
"18-Jul-2002","       15.49","        2.60","        2.06"
"19-Jul-2002","       15.41","        2.58","        2.08"
"22-Jul-2002","       15.05","        2.52","        2.12"
"23-Jul-2002","       15.20","        2.55","        2.10"
"24-Jul-2002","       14.93","        2.50","        2.14"
"25-Jul-2002","       14.90","        2.50","        2.15"
"26-Jul-2002","       14.48","        2.43","        2.21"
"29-Jul-2002","       14.45","        2.42","        2.21"
"30-Jul-2002","       14.29","        2.40","        2.24"
"31-Jul-2002","       14.26","        2.39","        2.24"
"01-Aug-2002","       14.24","        2.39","        2.25"
"02-Aug-2002","       14.20","        2.38","        2.25"
"05-Aug-2002","       14.33","        2.40","        2.23"
"06-Aug-2002","       14.38","        2.41","        2.22"
"07-Aug-2002","       14.41","        2.42","        2.22"
"08-Aug-2002","       14.19","        2.88","        2.17"
"09-Aug-2002","       14.31","        2.90","        2.15"
"12-Aug-2002","       14.43","        2.93","        2.13"
"13-Aug-2002","       14.52","        2.95","        2.12"
"14-Aug-2002","       14.43","        2.93","        2.16"
"16-Aug-2002","       14.57","        2.96","        2.16"
"19-Aug-2002","       14.58","        2.96","        2.16"
"20-Aug-2002","       14.71","        2.99","        2.14"
"21-Aug-2002","       14.71","        2.98","        2.14"
"22-Aug-2002","       14.66","        2.98","        2.04"
"23-Aug-2002","       14.81","        3.01","        2.02"
"26-Aug-2002","       14.86","        3.02","        1.98"
"27-Aug-2002","       14.70","        2.99","        2.01"
"28-Aug-2002","       14.67","        2.98","        2.01"
"29-Aug-2002","       14.69","        2.99","        2.02"
"30-Aug-2002","       15.04","        3.06","        1.95"
"02-Sep-2002","       15.08","        3.07","        1.95"
"03-Sep-2002","       14.90","        3.03","        1.97"
"04-Sep-2002","       14.98","        3.05","        1.94"
"05-Sep-2002","       15.01","        3.05","        1.97"
"06-Sep-2002","       14.81","        3.01","        1.96"
"09-Sep-2002","       14.86","        3.02","        1.84"
"11-Sep-2002","       14.86","        3.02","        1.84"
"12-Sep-2002","       14.90","        2.50","        2.15"
"13-Sep-2002","       14.76","        2.48","        2.17"
"16-Sep-2002","       14.67","        2.46","        2.18"
"17-Sep-2002","       14.80","        2.48","        2.16"
"18-Sep-2002","       14.63","        2.45","        2.18"
"19-Sep-2002","       14.52","        2.44","        2.20"
"20-Sep-2002","       14.43","        2.42","        2.22"
"23-Sep-2002","       14.44","        2.42","        2.21"
"24-Sep-2002","       14.38","        2.41","        2.22"
"25-Sep-2002","       14.43","        2.42","        2.22"
"26-Sep-2002","       14.43","        2.42","        2.22"
"27-Sep-2002","       14.53","        2.44","        2.20"
"30-Sep-2002","       14.33","        2.40","        2.23"
"01-Oct-2002","       14.21","        2.38","        2.25"
"03-Oct-2002","       14.11","        2.37","        2.27"
"04-Oct-2002","       14.11","        2.37","        2.27"
"07-Oct-2002","       14.21","        2.38","        2.25"
"08-Oct-2002","       14.30","        2.40","        2.24"
"09-Oct-2002","       14.21","        2.38","        2.25"
"10-Oct-2002","       14.22","        2.38","        2.25"
"11-Oct-2002","       14.40","        2.42","        2.22"
"14-Oct-2002","       14.42","        2.42","        2.22"
"16-Oct-2002","       14.44","        2.42","        2.21"
