"Date","P/E","P/B","Div Yield"
"03-Jan-2000","       25.91","        4.63","        0.95"
"04-Jan-2000","       26.67","        4.76","        0.92"
"05-Jan-2000","       25.97","        4.64","        0.95"
"06-Jan-2000","       26.32","        4.70","        0.94"
"07-Jan-2000","       26.25","        4.69","        0.94"
"10-Jan-2000","       26.57","        4.74","        0.93"
"11-Jan-2000","       25.59","        4.57","        0.96"
"12-Jan-2000","       26.44","        4.72","        0.93"
"13-Jan-2000","       26.38","        4.71","        0.93"
"14-Jan-2000","       26.41","        4.71","        0.93"
"17-Jan-2000","       26.22","        4.68","        0.94"
"18-Jan-2000","       26.15","        4.67","        0.94"
"19-Jan-2000","       26.60","        4.75","        0.93"
"20-Jan-2000","       26.05","        4.65","        0.95"
"21-Jan-2000","       26.37","        4.71","        0.93"
"24-Jan-2000","       26.26","        4.69","        0.94"
"25-Jan-2000","       25.81","        4.61","        0.95"
"27-Jan-2000","       26.10","        4.66","        0.94"
"28-Jan-2000","       26.02","        4.65","        0.95"
"31-Jan-2000","       25.16","        4.49","        0.98"
"01-Feb-2000","       25.13","        4.51","        0.98"
"02-Feb-2000","       25.75","        4.62","        0.95"
"03-Feb-2000","       25.91","        4.65","        0.95"
"04-Feb-2000","       25.94","        4.65","        0.94"
"07-Feb-2000","       26.54","        4.76","        0.92"
"08-Feb-2000","       26.96","        4.83","        0.91"
"09-Feb-2000","       27.40","        4.91","        0.93"
"10-Feb-2000","       27.75","        4.98","        0.92"
"11-Feb-2000","       28.47","        5.11","        0.90"
"14-Feb-2000","       28.29","        5.07","        0.90"
"15-Feb-2000","       27.19","        4.93","        0.92"
"16-Feb-2000","       27.32","        4.95","        0.92"
"17-Feb-2000","       27.82","        5.04","        0.90"
"18-Feb-2000","       27.43","        4.97","        0.90"
"21-Feb-2000","       28.00","        5.08","        0.89"
"22-Feb-2000","       27.77","        5.03","        0.89"
"23-Feb-2000","       27.09","        4.91","        0.92"
"24-Feb-2000","       27.66","        5.01","        0.90"
"25-Feb-2000","       27.29","        4.95","        0.91"
"28-Feb-2000","       27.49","        4.98","        0.90"
"29-Feb-2000","       26.36","        4.79","        0.94"
"01-Mar-2000","       27.35","        4.96","        0.91"
"02-Mar-2000","       27.09","        4.92","        0.91"
"03-Mar-2000","       26.47","        4.80","        0.94"
"06-Mar-2000","       26.99","        4.89","        0.92"
"07-Mar-2000","       27.22","        4.94","        0.91"
"08-Mar-2000","       26.64","        4.83","        1.03"
"09-Mar-2000","       26.32","        4.77","        1.04"
"10-Mar-2000","       25.62","        4.65","        1.07"
"13-Mar-2000","       24.95","        4.52","        1.10"
"14-Mar-2000","       25.05","        4.54","        1.09"
"15-Mar-2000","       25.90","        4.70","        1.06"
"16-Mar-2000","       24.97","        4.53","        1.09"
"21-Mar-2000","       24.89","        4.51","        1.02"
"22-Mar-2000","       25.41","        4.61","        1.03"
"23-Mar-2000","       24.83","        4.50","        1.06"
"24-Mar-2000","       25.09","        4.55","        1.05"
"27-Mar-2000","       24.99","        4.53","        1.05"
"28-Mar-2000","       25.08","        4.55","        1.04"
"29-Mar-2000","       25.08","        4.55","        1.04"
"30-Mar-2000","       24.94","        4.52","        1.05"
"31-Mar-2000","       24.60","        4.46","        1.06"
"03-Apr-2000","       24.70","        4.48","        1.06"
"04-Apr-2000","       22.99","        4.17","        1.14"
"05-Apr-2000","       23.09","        4.19","        1.51"
"06-Apr-2000","       23.39","        4.24","        1.49"
"07-Apr-2000","       25.06","        4.54","        1.39"
"10-Apr-2000","       25.96","        4.71","        1.34"
"11-Apr-2000","       25.72","        4.71","        1.33"
"12-Apr-2000","       25.21","        4.62","        1.47"
"13-Apr-2000","       23.98","        4.38","        1.54"
"17-Apr-2000","       21.74","        3.91","        1.62"
"18-Apr-2000","       21.31","        3.84","        1.66"
"19-Apr-2000","       21.07","        3.80","        1.73"
"20-Apr-2000","       21.23","        3.83","        1.71"
"24-Apr-2000","       20.82","        3.76","        1.75"
"25-Apr-2000","       20.39","        3.68","        1.78"
"26-Apr-2000","       21.54","        3.89","        1.73"
"27-Apr-2000","       21.25","        3.84","        1.75"
"28-Apr-2000","       21.10","        3.81","        1.77"
"02-May-2000","       20.00","        3.61","        1.86"
"03-May-2000","       19.74","        3.56","        1.91"
"04-May-2000","       20.71","        3.74","        1.82"
"05-May-2000","       21.33","        3.85","        1.77"
"08-May-2000","       20.47","        3.70","        1.74"
"09-May-2000","       20.68","        3.73","        1.72"
"10-May-2000","       20.57","        3.71","        1.74"
"11-May-2000","       19.68","        3.55","        1.81"
"12-May-2000","       19.36","        3.49","        1.84"
"15-May-2000","       19.54","        3.52","        1.82"
"16-May-2000","       19.66","        3.54","        1.81"
