"Date","P/E","P/B","Div Yield"
"02-Jan-2006","       17.16","        4.37","        1.56"
"03-Jan-2006","       17.45","        4.44","        1.54"
"04-Jan-2006","       17.58","        4.48","        1.53"
"05-Jan-2006","       17.55","        4.47","        1.53"
"06-Jan-2006","       17.64","        4.49","        1.52"
"09-Jan-2006","       17.62","        4.49","        1.52"
"10-Jan-2006","       17.37","        4.43","        1.54"
"12-Jan-2006","       17.28","        4.40","        1.55"
"13-Jan-2006","       17.25","        4.40","        1.55"
"16-Jan-2006","       17.14","        4.37","        1.56"
"17-Jan-2006","       17.12","        4.36","        1.57"
"18-Jan-2006","       16.53","        4.24","        1.61"
"19-Jan-2006","       16.87","        4.33","        1.58"
"20-Jan-2006","       16.91","        4.38","        1.56"
"23-Jan-2006","       16.83","        4.35","        1.57"
"24-Jan-2006","       16.86","        4.39","        1.56"
"25-Jan-2006","       17.02","        4.44","        1.54"
"27-Jan-2006","       17.42","        4.50","        1.52"
"30-Jan-2006","       17.91","        4.49","        1.52"
"31-Jan-2006","       17.90","        4.53","        1.51"
"01-Feb-2006","       17.73","        4.49","        1.52"
"02-Feb-2006","       17.70","        4.48","        1.53"
"03-Feb-2006","       17.54","        4.44","        1.54"
"06-Feb-2006","       17.90","        4.53","        1.51"
"07-Feb-2006","       18.02","        4.56","        1.50"
"08-Feb-2006","       17.95","        4.54","        1.50"
"10-Feb-2006","       18.03","        4.57","        1.49"
"13-Feb-2006","       18.11","        4.59","        1.49"
"14-Feb-2006","       17.93","        4.56","        1.50"
"15-Feb-2006","       17.96","        4.56","        1.50"
"16-Feb-2006","       17.95","        4.56","        1.50"
"17-Feb-2006","       17.71","        4.50","        1.52"
"20-Feb-2006","       17.86","        4.54","        1.51"
"21-Feb-2006","       18.03","        4.58","        1.49"
"22-Feb-2006","       18.13","        4.61","        1.48"
"23-Feb-2006","       18.19","        4.62","        1.48"
"24-Feb-2006","       18.12","        4.61","        1.48"
"27-Feb-2006","       18.22","        4.63","        1.48"
"28-Feb-2006","       18.27","        4.64","        1.47"
"01-Mar-2006","       18.56","        4.72","        1.45"
"02-Mar-2006","       18.73","        4.76","        1.44"
"03-Mar-2006","       18.71","        4.75","        1.44"
"06-Mar-2006","       18.96","        4.82","        1.42"
"07-Mar-2006","       18.92","        4.81","        1.42"
"08-Mar-2006","       18.53","        4.71","        1.45"
"09-Mar-2006","       18.60","        4.73","        1.45"
"10-Mar-2006","       18.93","        4.81","        1.42"
"13-Mar-2006","       19.04","        4.84","        1.41"
"14-Mar-2006","       19.00","        4.83","        1.42"
"16-Mar-2006","       19.18","        4.87","        1.40"
"17-Mar-2006","       19.25","        4.89","        1.40"
"20-Mar-2006","       19.44","        4.94","        1.38"
"21-Mar-2006","       19.42","        4.93","        1.38"
"22-Mar-2006","       19.28","        4.90","        1.39"
"23-Mar-2006","       19.33","        4.91","        1.39"
"24-Mar-2006","       19.52","        4.96","        1.38"
"27-Mar-2006","       19.77","        5.02","        1.36"
"28-Mar-2006","       19.79","        5.03","        1.36"
"29-Mar-2006","       19.97","        5.07","        1.35"
"30-Mar-2006","       20.35","        5.17","        1.32"
"31-Mar-2006","       20.26","        5.15","        1.33"
"03-Apr-2006","       20.68","        5.26","        1.30"
"04-Apr-2006","       20.74","        5.27","        1.30"
"05-Apr-2006","       20.90","        5.31","        1.29"
"07-Apr-2006","       20.57","        5.23","        1.31"
"10-Apr-2006","       20.71","        5.26","        1.30"
"12-Apr-2006","       20.13","        5.12","        1.34"
"13-Apr-2006","       19.91","        5.06","        1.35"
"17-Apr-2006","       20.34","        5.18","        1.32"
"18-Apr-2006","       20.76","        5.32","        1.28"
"19-Apr-2006","       20.79","        5.35","        1.28"
"20-Apr-2006","       21.01","        5.41","        1.26"
"21-Apr-2006","       21.01","        5.41","        1.26"
"24-Apr-2006","       20.85","        5.37","        1.27"
"25-Apr-2006","       20.37","        5.24","        1.30"
"26-Apr-2006","       20.93","        5.38","        1.27"
"27-Apr-2006","       20.58","        5.31","        1.29"
"28-Apr-2006","       20.08","        5.31","        1.29"
"29-Apr-2006","       20.31","        5.39","        1.27"
"02-May-2006","       20.46","        5.46","        1.25"
"03-May-2006","       20.62","        5.50","        1.24"
"04-May-2006","       20.70","        5.52","        1.24"
"05-May-2006","       20.77","        5.55","        1.23"
"08-May-2006","       20.93","        5.59","        1.22"
"09-May-2006","       21.09","        5.63","        1.21"
"10-May-2006","       21.28","        5.68","        1.20"
"11-May-2006","       20.98","        5.60","        1.22"
"12-May-2006","       20.69","        5.53","        1.24"
"15-May-2006","       19.86","        5.30","        1.29"
"16-May-2006","       19.97","        5.34","        1.28"
"17-May-2006","       20.62","        5.51","        1.24"
"18-May-2006","       19.26","        5.13","        1.33"
"19-May-2006","       18.51","        4.92","        1.39"
"22-May-2006","       17.52","        4.67","        1.46"
"23-May-2006","       18.19","        4.85","        1.41"
"24-May-2006","       17.71","        4.63","        1.46"
"25-May-2006","       18.39","        4.73","        1.43"
"26-May-2006","       18.28","        4.77","        1.42"
"29-May-2006","       18.27","        4.78","        1.41"
"30-May-2006","       18.11","        4.74","        1.43"
"31-May-2006","       17.46","        4.57","        1.48"
"01-Jun-2006","       16.78","        4.41","        1.53"
"02-Jun-2006","       17.51","        4.60","        1.47"
"05-Jun-2006","       17.09","        4.49","        1.51"
"06-Jun-2006","       16.64","        4.35","        1.62"
"07-Jun-2006","       16.21","        4.23","        1.66"
"08-Jun-2006","       15.44","        4.03","        1.74"
"09-Jun-2006","       16.24","        4.24","        1.65"
"12-Jun-2006","       15.73","        4.11","        1.71"
"13-Jun-2006","       15.09","        3.94","        1.78"
"14-Jun-2006","       14.92","        3.90","        1.80"
"15-Jun-2006","       15.91","        4.14","        1.69"
"16-Jun-2006","       16.43","        4.28","        1.64"
"19-Jun-2006","       16.58","        4.20","        1.65"
"20-Jun-2006","       16.27","        4.12","        1.68"
"21-Jun-2006","       16.62","        4.21","        1.65"
"22-Jun-2006","       17.03","        4.31","        1.61"
"23-Jun-2006","       17.30","        4.38","        1.58"
"25-Jun-2006","       17.34","        4.39","        1.58"
"26-Jun-2006","       16.73","        4.24","        1.64"
"27-Jun-2006","       17.36","        4.44","        1.57"
"28-Jun-2006","       17.57","        4.44","        1.57"
"29-Jun-2006","       17.67","        4.46","        1.56"
"30-Jun-2006","       18.44","        4.66","        1.49"
"03-Jul-2006","       18.57","        4.69","        1.48"
"04-Jul-2006","       18.50","        4.67","        1.49"
"05-Jul-2006","       18.84","        4.76","        1.46"
"06-Jul-2006","       18.60","        4.70","        1.48"
"07-Jul-2006","       18.13","        4.58","        1.52"
"10-Jul-2006","       18.52","        4.68","        1.49"
"11-Jul-2006","       18.36","        4.64","        1.50"
"12-Jul-2006","       18.76","        4.76","        1.46"
"13-Jul-2006","       18.61","        4.72","        1.47"
"14-Jul-2006","       18.33","        4.47","        1.54"
"17-Jul-2006","       17.63","        4.30","        1.59"
"18-Jul-2006","       17.52","        4.28","        1.59"
"19-Jul-2006","       17.00","        4.19","        1.63"
"20-Jul-2006","       17.43","        4.32","        1.58"
"21-Jul-2006","       16.93","        4.21","        1.62"
"24-Jul-2006","       17.13","        4.27","        1.60"
"25-Jul-2006","       17.44","        4.35","        1.57"
"26-Jul-2006","       17.58","        4.45","        1.53"
"27-Jul-2006","       17.83","        4.30","        1.57"
"28-Jul-2006","       17.57","        4.27","        1.59"
"31-Jul-2006","       17.64","        4.29","        1.58"
"01-Aug-2006","       17.67","        4.29","        1.58"
"02-Aug-2006","       17.86","        4.34","        1.56"
"03-Aug-2006","       17.90","        4.35","        1.56"
"04-Aug-2006","       17.83","        4.33","        1.56"
"07-Aug-2006","       17.69","        4.30","        1.58"
"08-Aug-2006","       18.03","        4.38","        1.55"
"09-Aug-2006","       18.27","        4.44","        1.53"
"10-Aug-2006","       18.30","        4.45","        1.52"
"11-Aug-2006","       18.38","        4.46","        1.52"
"14-Aug-2006","       18.60","        4.52","        1.50"
"16-Aug-2006","       18.84","        4.58","        1.48"
"17-Aug-2006","       18.83","        4.54","        1.50"
"18-Aug-2006","       18.84","        4.54","        1.50"
"21-Aug-2006","       18.88","        4.56","        1.49"
"22-Aug-2006","       18.88","        4.55","        1.49"
"23-Aug-2006","       18.71","        4.52","        1.51"
"24-Aug-2006","       18.91","        4.56","        1.49"
"25-Aug-2006","       19.00","        4.58","        1.48"
"28-Aug-2006","       19.08","        4.60","        1.48"
"29-Aug-2006","       19.22","        4.64","        1.47"
"30-Aug-2006","       19.25","        4.58","        1.47"
"31-Aug-2006","       19.15","        4.55","        1.47"
"01-Sep-2006","       19.68","        4.50","        1.43"
"04-Sep-2006","       19.92","        4.56","        1.41"
"05-Sep-2006","       19.90","        4.55","        1.42"
"06-Sep-2006","       19.92","        4.56","        1.41"
"07-Sep-2006","       19.79","        4.53","        1.42"
"08-Sep-2006","       19.89","        4.55","        1.42"
"11-Sep-2006","       19.29","        4.41","        1.46"
"12-Sep-2006","       19.42","        4.44","        1.45"
"13-Sep-2006","       19.81","        4.50","        1.40"
"14-Sep-2006","       19.91","        4.53","        1.40"
"15-Sep-2006","       19.95","        4.53","        1.39"
"18-Sep-2006","       20.03","        4.55","        1.39"
"19-Sep-2006","       19.83","        4.51","        1.40"
"20-Sep-2006","       20.09","        4.57","        1.38"
"21-Sep-2006","       20.38","        4.63","        1.36"
"22-Sep-2006","       20.33","        4.62","        1.37"
"25-Sep-2006","       20.21","        4.59","        1.37"
"26-Sep-2006","       20.83","        4.73","        1.33"
"27-Sep-2006","       20.87","        4.74","        1.33"
"28-Sep-2006","       20.83","        4.73","        1.33"
"29-Sep-2006","       20.92","        4.76","        1.33"
"03-Oct-2006","       20.82","        4.73","        1.33"
"04-Oct-2006","       20.50","        4.66","        1.36"
"05-Oct-2006","       20.79","        4.72","        1.34"
"06-Oct-2006","       20.82","        4.73","        1.33"
"09-Oct-2006","       20.82","        4.73","        1.36"
"10-Oct-2006","       20.83","        4.73","        1.36"
"11-Oct-2006","       20.68","        4.59","        1.39"
"12-Oct-2006","       21.04","        4.67","        1.37"
"13-Oct-2006","       21.36","        4.74","        1.35"
"16-Oct-2006","       21.64","        4.81","        1.33"
"17-Oct-2006","       21.47","        4.79","        1.33"
"18-Oct-2006","       21.33","        4.79","        1.34"
"19-Oct-2006","       21.06","        4.75","        1.35"
"20-Oct-2006","       20.91","        4.75","        1.35"
"21-Oct-2006","       20.94","        4.76","        1.35"
"23-Oct-2006","       20.79","        4.72","        1.35"
"26-Oct-2006","       20.79","        4.75","        1.35"
"27-Oct-2006","       21.04","        4.83","        1.32"
"30-Oct-2006","       20.48","        4.87","        1.31"
"31-Oct-2006","       20.37","        4.84","        1.32"
"01-Nov-2006","       20.16","        4.87","        1.32"
"02-Nov-2006","       20.29","        4.90","        1.31"
"03-Nov-2006","       20.37","        4.92","        1.30"
"06-Nov-2006","       20.39","        4.92","        1.30"
"07-Nov-2006","       20.34","        4.91","        1.30"
"08-Nov-2006","       20.22","        4.88","        1.31"
"09-Nov-2006","       20.32","        4.87","        1.27"
"10-Nov-2006","       20.53","        4.92","        1.26"
"13-Nov-2006","       20.66","        4.95","        1.25"
"14-Nov-2006","       20.70","        4.96","        1.25"
"15-Nov-2006","       20.78","        4.98","        1.25"
"16-Nov-2006","       20.78","        4.98","        1.25"
"17-Nov-2006","       20.65","        4.95","        1.25"
"20-Nov-2006","       20.67","        4.95","        1.25"
"21-Nov-2006","       21.00","        5.03","        1.23"
"22-Nov-2006","       21.20","        5.08","        1.22"
"23-Nov-2006","       21.14","        5.07","        1.22"
"24-Nov-2006","       21.17","        5.08","        1.22"
"27-Nov-2006","       21.25","        5.10","        1.22"
"28-Nov-2006","       21.00","        5.04","        1.23"
"29-Nov-2006","       21.03","        5.05","        1.23"
"30-Nov-2006","       21.18","        5.08","        1.22"
"01-Dec-2006","       21.41","        5.14","        1.21"
"04-Dec-2006","       21.43","        5.11","        1.21"
"05-Dec-2006","       21.51","        5.13","        1.20"
"06-Dec-2006","       21.51","        5.13","        1.20"
"07-Dec-2006","       21.54","        5.13","        1.20"
"08-Dec-2006","       21.23","        5.06","        1.22"
"11-Dec-2006","       20.62","        4.92","        1.25"
"12-Dec-2006","       19.91","        4.75","        1.30"
"13-Dec-2006","       20.17","        4.81","        1.28"
"14-Dec-2006","       20.59","        4.91","        1.26"
"15-Dec-2006","       20.83","        4.97","        1.24"
"18-Dec-2006","       21.05","        5.02","        1.23"
"19-Dec-2006","       20.53","        4.90","        1.26"
"20-Dec-2006","       20.45","        4.88","        1.26"
"21-Dec-2006","       20.54","        4.90","        1.26"
"22-Dec-2006","       20.74","        4.95","        1.25"
"26-Dec-2006","       21.12","        5.04","        1.22"
"27-Dec-2006","       21.30","        5.08","        1.21"
"28-Dec-2006","       21.28","        5.08","        1.22"
"29-Dec-2006","       21.26","        5.07","        1.22"
