"Date","P/E","P/B","Div Yield"
"01-Jan-2013","       18.82","        3.16","        1.39"
"02-Jan-2013","       18.96","        3.18","        1.38"
"03-Jan-2013","       19.01","        3.19","        1.37"
"04-Jan-2013","       19.03","        3.19","        1.37"
"07-Jan-2013","       18.94","        3.18","        1.38"
"08-Jan-2013","       18.98","        3.19","        1.37"
"09-Jan-2013","       18.89","        3.17","        1.38"
"10-Jan-2013","       18.88","        3.17","        1.38"
"11-Jan-2013","       18.82","        3.16","        1.39"
"14-Jan-2013","       19.05","        3.20","        1.37"
"15-Jan-2013","       19.12","        3.21","        1.36"
"16-Jan-2013","       18.95","        3.19","        1.37"
"17-Jan-2013","       19.07","        3.21","        1.36"
"18-Jan-2013","       19.01","        3.22","        1.36"
"21-Jan-2013","       18.97","        3.23","        1.36"
"22-Jan-2013","       18.75","        3.21","        1.36"
"23-Jan-2013","       18.76","        3.21","        1.36"
"24-Jan-2013","       18.60","        3.19","        1.37"
"25-Jan-2013","       18.77","        3.22","        1.36"
"28-Jan-2013","       18.75","        3.22","        1.36"
"29-Jan-2013","       18.67","        3.21","        1.36"
"30-Jan-2013","       18.66","        3.21","        1.36"
"31-Jan-2013","       18.50","        3.20","        1.37"
"01-Feb-2013","       18.42","        3.18","        1.37"
"04-Feb-2013","       18.43","        3.18","        1.38"
"05-Feb-2013","       18.33","        3.16","        1.38"
"06-Feb-2013","       18.34","        3.16","        1.38"
"07-Feb-2013","       18.27","        3.15","        1.39"
"08-Feb-2013","       18.16","        3.13","        1.40"
"11-Feb-2013","       18.17","        3.13","        1.40"
"12-Feb-2013","       18.29","        3.14","        1.39"
"13-Feb-2013","       18.33","        3.15","        1.39"
"14-Feb-2013","       18.27","        3.13","        1.40"
"15-Feb-2013","       18.21","        3.13","        1.40"
"18-Feb-2013","       18.27","        3.14","        1.39"
"19-Feb-2013","       18.52","        3.16","        1.38"
"20-Feb-2013","       18.61","        3.16","        1.38"
"21-Feb-2013","       18.32","        3.11","        1.40"
"22-Feb-2013","       18.28","        3.11","        1.41"
"25-Feb-2013","       18.29","        3.11","        1.40"
"26-Feb-2013","       18.00","        3.06","        1.43"
"27-Feb-2013","       17.98","        3.08","        1.42"
"28-Feb-2013","       17.66","        3.03","        1.44"
"01-Mar-2013","       17.74","        3.04","        1.44"
"04-Mar-2013","       17.67","        3.03","        1.44"
"05-Mar-2013","       17.94","        3.08","        1.42"
"06-Mar-2013","       18.05","        3.10","        1.41"
"07-Mar-2013","       18.19","        3.12","        1.40"
"08-Mar-2013","       18.44","        3.16","        1.38"
"11-Mar-2013","       18.37","        3.15","        1.39"
"12-Mar-2013","       18.28","        3.13","        1.40"
"13-Mar-2013","       18.09","        3.10","        1.41"
"14-Mar-2013","       18.26","        3.13","        1.40"
"15-Mar-2013","       18.15","        3.11","        1.41"
"18-Mar-2013","       18.04","        3.09","        1.42"
"19-Mar-2013","       17.76","        3.04","        1.44"
"20-Mar-2013","       17.60","        3.01","        1.45"
"21-Mar-2013","       17.49","        3.00","        1.46"
"22-Mar-2013","       17.47","        2.99","        1.46"
"25-Mar-2013","       17.41","        2.98","        1.47"
"26-Mar-2013","       17.44","        2.98","        1.47"
"28-Mar-2013","       17.57","        3.01","        1.46"
"01-Apr-2013","       17.51","        3.01","        1.46"
"02-Apr-2013","       17.64","        3.03","        1.44"
"03-Apr-2013","       17.41","        2.99","        1.46"
"04-Apr-2013","       17.11","        2.94","        1.49"
"05-Apr-2013","       17.04","        2.93","        1.49"
"08-Apr-2013","       17.01","        2.92","        1.50"
"09-Apr-2013","       16.86","        2.90","        1.51"
"10-Apr-2013","       17.06","        2.93","        1.49"
"11-Apr-2013","       17.17","        2.95","        1.48"
"12-Apr-2013","       16.96","        2.91","        1.50"
"15-Apr-2013","       17.08","        2.93","        1.49"
"16-Apr-2013","       17.45","        3.00","        1.46"
"17-Apr-2013","       17.31","        3.00","        1.46"
"18-Apr-2013","       17.60","        3.05","        1.44"
"22-Apr-2013","       17.76","        3.07","        1.42"
"23-Apr-2013","       17.76","        3.08","        1.42"
"25-Apr-2013","       18.00","        3.12","        1.40"
"26-Apr-2013","       17.73","        3.09","        1.41"
"29-Apr-2013","       17.78","        3.11","        1.41"
"30-Apr-2013","       17.85","        3.13","        1.40"
"02-May-2013","       18.05","        3.16","        1.38"
"03-May-2013","       17.89","        3.13","        1.40"
"06-May-2013","       17.97","        3.15","        1.39"
"07-May-2013","       18.19","        3.19","        1.37"
"08-May-2013","       18.20","        3.20","        1.37"
"09-May-2013","       18.11","        3.19","        1.37"
"10-May-2013","       18.22","        3.21","        1.36"
"11-May-2013","       18.26","        3.22","        1.36"
"13-May-2013","       17.79","        3.15","        1.39"
"14-May-2013","       17.88","        3.16","        1.38"
"15-May-2013","       18.33","        3.24","        1.35"
"16-May-2013","       18.33","        3.25","        1.35"
"17-May-2013","       18.38","        3.26","        1.34"
"20-May-2013","       18.37","        3.25","        1.35"
"21-May-2013","       18.24","        3.22","        1.36"
"22-May-2013","       18.15","        3.21","        1.36"
"23-May-2013","       17.77","        3.15","        1.39"
"24-May-2013","       17.88","        3.15","        1.39"
"27-May-2013","       18.19","        3.21","        1.36"
"28-May-2013","       18.25","        3.22","        1.36"
"29-May-2013","       18.31","        3.22","        1.36"
"30-May-2013","       18.37","        3.23","        1.36"
"31-May-2013","       17.95","        3.16","        1.39"
"03-Jun-2013","       17.81","        3.13","        1.40"
"04-Jun-2013","       17.75","        3.12","        1.40"
"05-Jun-2013","       17.77","        3.12","        1.40"
"06-Jun-2013","       17.89","        3.12","        1.40"
"07-Jun-2013","       17.76","        3.10","        1.41"
"10-Jun-2013","       17.73","        3.10","        1.41"
"11-Jun-2013","       17.47","        3.06","        1.43"
"12-Jun-2013","       17.38","        3.04","        1.44"
"13-Jun-2013","       17.20","        3.01","        1.45"
"14-Jun-2013","       17.53","        3.07","        1.43"
"17-Jun-2013","       17.75","        3.09","        1.42"
"18-Jun-2013","       17.64","        3.07","        1.43"
"19-Jun-2013","       17.68","        3.07","        1.42"
"20-Jun-2013","       17.17","        2.99","        1.47"
"21-Jun-2013","       17.20","        2.99","        1.46"
"24-Jun-2013","       16.97","        2.95","        1.48"
"25-Jun-2013","       17.03","        2.96","        1.48"
