"Date","P/E","P/B","Div Yield"
"01-Jan-2004","       21.09","        4.12","        1.44"
"02-Jan-2004","       21.46","        4.19","        1.42"
"05-Jan-2004","       21.56","        4.21","        1.41"
"06-Jan-2004","       21.25","        4.15","        1.43"
"07-Jan-2004","       21.14","        4.12","        1.44"
"08-Jan-2004","       21.71","        4.24","        1.40"
"09-Jan-2004","       21.75","        4.24","        1.40"
"12-Jan-2004","       21.46","        4.19","        1.42"
"13-Jan-2004","       21.66","        4.23","        1.40"
"14-Jan-2004","       21.86","        4.27","        1.39"
"15-Jan-2004","       21.44","        4.18","        1.42"
"16-Jan-2004","       20.96","        4.09","        1.45"
"19-Jan-2004","       21.35","        4.17","        1.42"
"20-Jan-2004","       20.88","        4.07","        1.46"
"21-Jan-2004","       20.13","        3.93","        1.51"
"22-Jan-2004","       19.53","        3.81","        1.56"
"23-Jan-2004","       20.38","        3.98","        1.49"
"27-Jan-2004","       21.01","        4.10","        1.45"
"28-Jan-2004","       20.55","        4.01","        1.48"
"29-Jan-2004","       20.34","        3.97","        1.49"
"30-Jan-2004","       19.96","        3.90","        1.52"
"03-Feb-2004","       19.55","        3.81","        1.55"
"04-Feb-2004","       20.14","        3.93","        1.51"
"05-Feb-2004","       19.94","        3.89","        1.52"
"06-Feb-2004","       20.27","        3.95","        1.50"
"09-Feb-2004","       20.78","        4.06","        1.46"
"10-Feb-2004","       20.79","        4.06","        1.46"
"11-Feb-2004","       20.71","        4.08","        1.45"
"12-Feb-2004","       20.64","        4.07","        1.46"
"13-Feb-2004","       20.95","        4.13","        1.44"
"16-Feb-2004","       20.98","        4.13","        1.43"
"17-Feb-2004","       21.05","        4.15","        1.43"
"18-Feb-2004","       21.01","        4.14","        1.43"
"19-Feb-2004","       20.38","        4.01","        1.48"
"20-Feb-2004","       20.31","        4.00","        1.48"
"23-Feb-2004","       19.83","        3.91","        1.52"
"24-Feb-2004","       19.97","        3.93","        1.51"
"25-Feb-2004","       19.60","        3.86","        1.54"
"26-Feb-2004","       19.37","        3.81","        1.55"
"27-Feb-2004","       19.74","        3.89","        1.52"
"01-Mar-2004","       21.57","        4.26","        1.39"
"03-Mar-2004","       21.72","        3.67","        1.38"
"04-Mar-2004","       21.53","        3.64","        1.39"
"05-Mar-2004","       21.81","        3.68","        1.37"
"08-Mar-2004","       22.01","        3.72","        1.36"
"09-Mar-2004","       21.79","        3.68","        1.38"
"10-Mar-2004","       21.54","        3.64","        1.39"
"11-Mar-2004","       21.08","        3.56","        1.42"
"12-Mar-2004","       21.16","        3.58","        1.42"
"15-Mar-2004","       20.59","        3.48","        1.46"
"16-Mar-2004","       20.43","        3.45","        1.79"
"17-Mar-2004","       20.44","        3.45","        1.79"
"18-Mar-2004","       20.05","        3.39","        1.82"
"19-Mar-2004","       20.15","        3.40","        1.82"
"22-Mar-2004","       19.68","        3.32","        1.86"
"23-Mar-2004","       19.81","        3.35","        1.85"
"24-Mar-2004","       19.76","        3.34","        1.85"
"25-Mar-2004","       19.91","        3.36","        1.84"
"26-Mar-2004","       20.41","        3.45","        1.79"
"29-Mar-2004","       20.58","        3.48","        1.78"
"30-Mar-2004","       20.44","        3.45","        1.79"
"31-Mar-2004","       20.70","        3.50","        1.77"
"01-Apr-2004","       21.27","        3.59","        1.72"
"02-Apr-2004","       21.53","        3.64","        1.70"
"05-Apr-2004","       21.71","        3.67","        1.69"
"06-Apr-2004","       21.64","        3.66","        1.69"
"07-Apr-2004","       21.61","        3.65","        1.69"
"08-Apr-2004","       21.67","        3.66","        1.69"
"12-Apr-2004","       19.04","        3.61","        1.95"
"13-Apr-2004","       19.46","        3.69","        1.90"
"15-Apr-2004","       19.29","        3.65","        1.92"
"16-Apr-2004","       19.36","        3.67","        1.91"
"17-Apr-2004","       19.35","        3.67","        1.91"
"19-Apr-2004","       19.10","        3.62","        1.94"
"20-Apr-2004","       19.11","        3.62","        1.94"
"21-Apr-2004","       19.41","        3.68","        1.91"
"22-Apr-2004","       19.58","        3.71","        1.89"
"23-Apr-2004","       19.68","        3.73","        1.88"
"27-Apr-2004","       18.90","        3.58","        1.96"
"28-Apr-2004","       18.89","        3.58","        1.96"
"29-Apr-2004","       18.82","        3.56","        1.97"
"30-Apr-2004","       18.68","        3.54","        1.98"
"03-May-2004","       16.62","        3.48","        2.02"
"04-May-2004","       16.87","        3.53","        1.96"
"05-May-2004","       16.86","        3.57","        1.94"
"06-May-2004","       17.04","        3.61","        2.00"
"07-May-2004","       16.77","        3.56","        2.03"
"10-May-2004","       16.38","        3.49","        2.07"
"11-May-2004","       15.74","        3.35","        2.16"
"12-May-2004","       15.86","        3.37","        2.14"
"13-May-2004","       15.91","        3.39","        2.14"
"14-May-2004","       14.66","        3.12","        2.32"
"17-May-2004","       12.87","        2.74","        2.64"
"18-May-2004","       13.94","        2.97","        2.44"
"19-May-2004","       14.41","        3.09","        2.34"
"20-May-2004","       13.99","        3.04","        2.38"
"21-May-2004","       14.14","        3.08","        2.35"
"24-May-2004","       13.90","        3.15","        2.30"
"25-May-2004","       13.88","        3.14","        2.30"
"26-May-2004","       13.75","        3.13","        2.41"
"27-May-2004","       13.65","        3.10","        2.42"
"28-May-2004","       12.98","        2.95","        2.55"
"31-May-2004","       11.94","        2.84","        2.59"
"01-Jun-2004","       12.14","        2.89","        2.55"
"02-Jun-2004","       12.36","        2.94","        2.51"
"03-Jun-2004","       12.04","        2.87","        2.57"
"04-Jun-2004","       12.25","        2.92","        2.53"
"07-Jun-2004","       12.42","        2.96","        2.49"
"08-Jun-2004","       12.48","        2.97","        2.48"
"09-Jun-2004","       12.47","        2.97","        2.48"
"10-Jun-2004","       12.44","        2.96","        2.49"
"11-Jun-2004","       12.14","        2.89","        2.55"
"14-Jun-2004","       11.84","        2.84","        2.62"
"15-Jun-2004","       12.00","        2.88","        2.58"
"16-Jun-2004","       12.01","        2.87","        2.59"
"17-Jun-2004","       12.15","        2.90","        2.56"
"18-Jun-2004","       11.98","        2.86","        2.60"
"21-Jun-2004","       11.91","        2.84","        2.62"
"22-Jun-2004","       11.85","        2.83","        2.63"
"23-Jun-2004","       11.62","        2.77","        2.68"
"24-Jun-2004","       11.82","        2.82","        2.64"
"25-Jun-2004","       11.96","        2.85","        2.60"
"28-Jun-2004","       12.71","        2.84","        2.57"
"29-Jun-2004","       12.74","        2.85","        2.57"
"30-Jun-2004","       12.64","        2.83","        2.59"
"01-Jul-2004","       12.90","        2.89","        2.54"
"02-Jul-2004","       12.90","        2.89","        2.54"
"05-Jul-2004","       12.72","        2.87","        2.57"
"06-Jul-2004","       12.98","        2.93","        2.52"
"07-Jul-2004","       13.05","        2.94","        2.50"
"08-Jul-2004","       12.64","        2.85","        2.58"
"09-Jul-2004","       12.94","        2.92","        2.53"
"12-Jul-2004","       12.97","        2.83","        2.53"
"13-Jul-2004","       12.82","        2.80","        2.56"
"14-Jul-2004","       12.68","        2.77","        2.59"
"15-Jul-2004","       12.82","        2.80","        2.56"
"16-Jul-2004","       12.98","        2.83","        2.53"
"19-Jul-2004","       13.09","        2.86","        2.53"
"20-Jul-2004","       13.05","        2.85","        2.54"
"21-Jul-2004","       13.17","        2.88","        2.52"
"22-Jul-2004","       13.31","        2.91","        2.49"
"23-Jul-2004","       13.34","        2.91","        2.49"
"26-Jul-2004","       13.51","        2.95","        2.47"
"27-Jul-2004","       13.37","        2.92","        2.50"
"28-Jul-2004","       13.31","        2.91","        2.51"
"29-Jul-2004","       13.52","        2.93","        2.47"
"30-Jul-2004","       13.63","        2.95","        2.45"
"02-Aug-2004","       13.69","        2.96","        2.41"
"03-Aug-2004","       13.62","        2.95","        2.43"
"04-Aug-2004","       13.58","        2.94","        2.43"
"05-Aug-2004","       13.82","        2.99","        2.39"
"06-Aug-2004","       13.64","        2.95","        2.42"
"09-Aug-2004","       13.72","        2.97","        2.41"
"10-Aug-2004","       13.80","        2.99","        2.40"
"11-Aug-2004","       13.55","        2.93","        2.44"
"12-Aug-2004","       13.43","        2.91","        2.46"
"13-Aug-2004","       13.36","        2.89","        2.47"
"16-Aug-2004","       13.36","        2.89","        2.46"
"17-Aug-2004","       13.41","        2.90","        2.45"
"18-Aug-2004","       13.22","        2.86","        2.48"
"19-Aug-2004","       13.45","        2.91","        2.44"
"20-Aug-2004","       13.29","        2.87","        2.47"
"23-Aug-2004","       13.19","        2.85","        2.49"
"24-Aug-2004","       13.30","        2.88","        2.47"
"25-Aug-2004","       13.34","        2.88","        2.47"
"26-Aug-2004","       13.46","        2.91","        2.44"
"27-Aug-2004","       13.45","        2.91","        2.45"
"30-Aug-2004","       13.61","        2.94","        2.41"
"31-Aug-2004","       13.64","        2.95","        2.40"
"01-Sep-2004","       13.67","        2.96","        2.40"
"02-Sep-2004","       13.62","        2.94","        2.41"
"03-Sep-2004","       13.66","        2.95","        2.40"
"06-Sep-2004","       13.74","        2.97","        2.34"
"07-Sep-2004","       13.79","        2.98","        2.33"
"08-Sep-2004","       13.84","        2.99","        2.32"
"09-Sep-2004","       13.78","        2.98","        2.33"
"10-Sep-2004","       13.95","        3.02","        2.30"
"13-Sep-2004","       14.00","        3.03","        2.29"
"14-Sep-2004","       14.09","        3.05","        2.28"
"15-Sep-2004","       14.07","        3.04","        2.28"
"16-Sep-2004","       14.25","        3.08","        2.25"
"17-Sep-2004","       14.49","        3.13","        2.21"
"20-Sep-2004","       14.45","        3.13","        2.22"
"21-Sep-2004","       14.63","        3.16","        2.19"
"22-Sep-2004","       14.66","        3.17","        2.19"
"23-Sep-2004","       14.42","        3.12","        2.22"
"24-Sep-2004","       14.39","        3.11","        2.23"
"27-Sep-2004","       14.35","        3.10","        2.22"
"28-Sep-2004","       14.21","        3.07","        2.24"
"29-Sep-2004","       14.44","        3.12","        2.21"
"30-Sep-2004","       14.59","        3.16","        2.18"
"01-Oct-2004","       14.84","        3.21","        2.15"
"04-Oct-2004","       15.09","        3.11","        2.11"
"05-Oct-2004","       15.15","        3.13","        2.10"
"06-Oct-2004","       15.00","        3.10","        2.12"
"07-Oct-2004","       15.17","        3.13","        2.10"
"08-Oct-2004","       15.21","        3.14","        2.09"
"09-Oct-2004","       15.19","        3.14","        2.10"
"11-Oct-2004","       15.11","        3.12","        2.11"
"12-Oct-2004","       14.93","        3.08","        2.13"
"14-Oct-2004","       15.00","        3.10","        2.12"
"15-Oct-2004","       15.00","        3.10","        2.12"
"18-Oct-2004","       14.93","        3.08","        2.13"
