"Date","P/E","P/B","Div Yield"
"01-Jan-2003","       14.92","        2.41","        2.38"
"02-Jan-2003","       14.82","        2.39","        2.40"
"03-Jan-2003","       14.78","        2.38","        2.40"
"06-Jan-2003","       14.71","        2.37","        2.42"
"07-Jan-2003","       14.67","        2.37","        2.42"
"08-Jan-2003","       14.77","        2.38","        2.41"
"09-Jan-2003","       14.88","        2.40","        2.39"
"10-Jan-2003","       14.65","        2.36","        2.43"
"13-Jan-2003","       14.56","        2.35","        2.44"
"14-Jan-2003","       14.63","        2.36","        2.43"
"15-Jan-2003","       14.72","        2.37","        2.41"
"16-Jan-2003","       14.76","        2.38","        2.41"
"17-Jan-2003","       14.74","        2.38","        2.41"
"20-Jan-2003","       14.60","        2.35","        2.43"
"21-Jan-2003","       14.62","        2.36","        2.43"
"22-Jan-2003","       14.69","        2.37","        2.42"
"23-Jan-2003","       14.52","        2.34","        2.45"
"24-Jan-2003","       14.32","        2.31","        2.48"
"27-Jan-2003","       14.07","        2.27","        2.52"
"28-Jan-2003","       14.19","        2.29","        2.50"
"29-Jan-2003","       14.07","        2.27","        2.53"
"30-Jan-2003","       14.03","        2.26","        2.53"
"31-Jan-2003","       14.13","        2.28","        2.51"
"03-Feb-2003","       14.31","        2.31","        2.48"
"04-Feb-2003","       14.31","        2.31","        2.48"
"05-Feb-2003","       14.21","        2.29","        2.50"
"06-Feb-2003","       14.42","        2.33","        2.46"
"07-Feb-2003","       14.34","        2.31","        2.48"
"10-Feb-2003","       14.22","        2.29","        2.50"
"11-Feb-2003","       14.21","        2.29","        2.50"
"12-Feb-2003","       14.17","        2.28","        2.51"
"14-Feb-2003","       14.05","        2.27","        2.53"
"17-Feb-2003","       14.35","        2.31","        2.48"
"18-Feb-2003","       14.37","        2.32","        2.47"
"19-Feb-2003","       14.43","        2.33","        2.46"
"20-Feb-2003","       14.45","        2.33","        2.46"
"21-Feb-2003","       14.46","        2.33","        2.46"
"24-Feb-2003","       14.51","        2.34","        2.45"
"25-Feb-2003","       14.32","        2.31","        2.48"
"26-Feb-2003","       14.24","        2.30","        2.50"
"27-Feb-2003","       14.28","        2.30","        2.49"
"28-Feb-2003","       14.42","        2.33","        2.46"
"03-Mar-2003","       14.36","        2.32","        2.47"
"04-Mar-2003","       14.24","        2.30","        2.50"
"05-Mar-2003","       14.16","        2.28","        2.51"
"06-Mar-2003","       14.03","        2.26","        2.53"
"07-Mar-2003","       13.84","        2.23","        2.57"
"10-Mar-2003","       13.70","        2.21","        2.59"
"11-Mar-2003","       13.81","        2.23","        2.57"
"12-Mar-2003","       13.63","        2.20","        2.61"
"13-Mar-2003","       13.60","        2.19","        2.61"
"17-Mar-2003","       13.51","        2.18","        2.63"
"19-Mar-2003","       13.71","        2.20","        2.85"
"20-Mar-2003","       14.00","        2.25","        2.79"
"21-Mar-2003","       14.08","        2.26","        2.78"
