"Date","P/E","P/B","Div Yield"
"01-Jan-2014","       18.69","        2.99","        1.49"
"02-Jan-2014","       18.46","        2.95","        1.50"
"03-Jan-2014","       18.43","        2.95","        1.51"
"06-Jan-2014","       18.37","        2.94","        1.51"
"07-Jan-2014","       18.28","        2.92","        1.52"
"08-Jan-2014","       18.32","        2.93","        1.52"
"09-Jan-2014","       18.30","        2.93","        1.52"
"10-Jan-2014","       18.24","        2.93","        1.52"
"13-Jan-2014","       18.55","        2.98","        1.49"
"14-Jan-2014","       18.44","        2.96","        1.50"
"15-Jan-2014","       18.68","        3.00","        1.48"
"16-Jan-2014","       18.63","        3.00","        1.48"
"17-Jan-2014","       18.45","        2.97","        1.50"
"20-Jan-2014","       18.35","        2.99","        1.49"
"21-Jan-2014","       18.38","        2.99","        1.48"
"22-Jan-2014","       18.45","        3.00","        1.48"
"23-Jan-2014","       18.49","        3.00","        1.48"
"24-Jan-2014","       18.25","        2.97","        1.49"
"27-Jan-2014","       17.85","        2.90","        1.53"
"28-Jan-2014","       17.82","        2.90","        1.53"
"29-Jan-2014","       17.79","        2.90","        1.53"
"30-Jan-2014","       17.65","        2.87","        1.54"
"31-Jan-2014","       17.70","        2.88","        1.54"
"03-Feb-2014","       17.34","        2.84","        1.56"
"04-Feb-2014","       17.35","        2.84","        1.56"
"05-Feb-2014","       17.41","        2.85","        1.56"
"06-Feb-2014","       17.16","        2.86","        1.55"
"07-Feb-2014","       17.25","        2.87","        1.54"
"10-Feb-2014","       17.24","        2.87","        1.55"
"11-Feb-2014","       17.26","        2.87","        1.54"
"12-Feb-2014","       17.32","        2.88","        1.54"
"13-Feb-2014","       17.09","        2.84","        1.56"
"14-Feb-2014","       17.22","        2.87","        1.55"
"17-Feb-2014","       17.28","        2.87","        1.54"
"18-Feb-2014","       17.59","        2.90","        1.53"
"19-Feb-2014","       17.59","        2.91","        1.52"
"20-Feb-2014","       17.42","        2.88","        1.54"
"21-Feb-2014","       17.33","        2.91","        1.52"
"24-Feb-2014","       17.42","        2.93","        1.51"
"25-Feb-2014","       17.46","        2.93","        1.51"
"26-Feb-2014","       17.57","        2.95","        1.50"
"28-Feb-2014","       17.67","        2.97","        1.49"
"03-Mar-2014","       17.52","        2.94","        1.50"
"04-Mar-2014","       17.73","        2.98","        1.49"
"05-Mar-2014","       17.82","        2.99","        1.48"
"06-Mar-2014","       18.02","        3.03","        1.46"
"07-Mar-2014","       18.38","        3.09","        1.43"
"10-Mar-2014","       18.41","        3.09","        1.43"
"11-Mar-2014","       18.34","        3.08","        1.44"
"12-Mar-2014","       18.35","        3.08","        1.44"
"13-Mar-2014","       18.28","        3.07","        1.44"
"14-Mar-2014","       18.31","        3.08","        1.44"
"18-Mar-2014","       18.35","        3.08","        1.44"
"19-Mar-2014","       18.38","        3.09","        1.43"
"20-Mar-2014","       18.26","        3.07","        1.44"
"21-Mar-2014","       18.29","        3.07","        1.44"
"22-Mar-2014","       18.29","        3.07","        1.44"
"24-Mar-2014","       18.54","        3.12","        1.42"
"25-Mar-2014","       18.56","        3.12","        1.42"
"26-Mar-2014","       18.59","        3.12","        1.42"
"27-Mar-2014","       18.71","        3.14","        1.41"
"28-Mar-2014","       18.84","        3.23","        1.37"
"31-Mar-2014","       18.86","        3.23","        1.37"
"01-Apr-2014","       18.91","        3.24","        1.37"
"02-Apr-2014","       19.00","        3.26","        1.36"
"03-Apr-2014","       18.95","        3.25","        1.37"
"04-Apr-2014","       18.84","        3.23","        1.37"
