"Date","P/E","P/B","Div Yield"
"01-Jan-1999","       11.62","        2.07","        1.83"
"04-Jan-1999","       11.72","        2.08","        1.81"
"05-Jan-1999","       11.84","        2.11","        1.79"
"06-Jan-1999","       12.11","        2.16","        1.75"
"07-Jan-1999","       12.46","        2.22","        1.71"
"08-Jan-1999","       12.92","        2.30","        1.64"
"11-Jan-1999","       12.86","        2.29","        1.65"
"12-Jan-1999","       12.59","        2.24","        1.69"
"13-Jan-1999","       12.54","        2.23","        1.69"
"14-Jan-1999","       12.46","        2.22","        1.70"
"15-Jan-1999","       12.19","        2.17","        1.74"
"18-Jan-1999","       12.33","        2.19","        1.72"
"19-Jan-1999","       12.06","        2.15","        1.76"
"21-Jan-1999","       12.84","        2.29","        1.65"
"22-Jan-1999","       12.71","        2.26","        1.67"
"25-Jan-1999","       12.61","        2.24","        1.68"
"27-Jan-1999","       12.90","        2.29","        1.65"
"28-Jan-1999","       12.68","        2.26","        1.68"
"29-Jan-1999","       12.83","        2.28","        1.66"
"01-Feb-1999","       12.48","        2.22","        1.70"
"02-Feb-1999","       12.36","        2.20","        1.72"
"03-Feb-1999","       12.64","        2.25","        1.69"
"04-Feb-1999","       12.48","        2.22","        1.71"
"05-Feb-1999","       12.43","        2.21","        1.71"
"08-Feb-1999","       12.17","        2.17","        1.75"
"09-Feb-1999","       12.28","        2.18","        1.73"
"10-Feb-1999","       12.74","        2.27","        1.67"
"11-Feb-1999","       12.75","        2.27","        1.67"
"12-Feb-1999","       12.88","        2.29","        1.62"
"15-Feb-1999","       12.67","        2.26","        1.64"
"16-Feb-1999","       12.73","        2.27","        1.63"
"17-Feb-1999","       12.87","        2.29","        1.64"
"18-Feb-1999","       12.92","        2.30","        1.63"
"19-Feb-1999","       12.96","        2.31","        1.63"
"22-Feb-1999","       12.66","        2.25","        1.66"
"23-Feb-1999","       12.61","        2.24","        1.67"
"24-Feb-1999","       12.72","        2.26","        1.66"
"25-Feb-1999","       12.68","        2.26","        1.66"
"26-Feb-1999","       12.51","        2.23","        1.66"
"27-Feb-1999","       13.04","        2.32","        1.59"
"01-Mar-1999","       13.50","        2.40","        1.54"
"03-Mar-1999","       13.98","        2.49","        1.49"
"04-Mar-1999","       13.83","        2.46","        1.50"
"05-Mar-1999","       14.01","        2.49","        1.48"
"08-Mar-1999","       14.25","        2.53","        1.46"
"09-Mar-1999","       14.33","        2.55","        1.45"
"10-Mar-1999","       14.35","        2.55","        1.46"
"11-Mar-1999","       14.09","        2.51","        1.48"
"12-Mar-1999","       14.26","        2.54","        1.37"
"15-Mar-1999","       14.28","        2.54","        1.37"
"16-Mar-1999","       14.00","        2.49","        1.39"
"17-Mar-1999","       14.10","        2.51","        1.51"
"18-Mar-1999","       14.29","        2.54","        1.49"
"19-Mar-1999","       14.13","        2.52","        1.50"
"20-Mar-1999","       14.10","        2.51","        1.50"
"22-Mar-1999","       14.13","        2.52","        1.50"
"23-Mar-1999","       14.27","        2.54","        1.49"
"24-Mar-1999","       14.13","        2.51","        1.51"
"25-Mar-1999","       14.03","        2.50","        1.52"
"26-Mar-1999","       13.85","        2.46","        1.53"
"30-Mar-1999","       14.02","        2.50","        1.51"
