"Date","P/E","P/B","Div Yield"
"01-Jan-2001","       19.06","        4.11","        1.25"
"02-Jan-2001","       19.33","        4.16","        1.23"
"03-Jan-2001","       19.62","        4.23","        1.22"
"04-Jan-2001","       19.87","        4.28","        1.20"
"05-Jan-2001","       20.17","        4.35","        1.18"
"08-Jan-2001","       19.90","        4.29","        1.20"
"09-Jan-2001","       19.93","        4.30","        1.20"
"10-Jan-2001","       19.56","        4.22","        1.22"
"11-Jan-2001","       19.46","        4.19","        1.23"
"12-Jan-2001","       19.55","        4.21","        1.22"
"15-Jan-2001","       20.85","        4.33","        1.22"
"16-Jan-2001","       20.95","        4.35","        1.21"
"17-Jan-2001","       21.03","        4.36","        1.21"
"18-Jan-2001","       21.16","        4.39","        1.20"
"19-Jan-2001","       21.53","        4.47","        1.18"
"22-Jan-2001","       21.84","        4.53","        1.17"
"23-Jan-2001","       21.96","        4.56","        1.16"
"24-Jan-2001","       22.13","        4.59","        1.15"
"25-Jan-2001","       22.20","        4.61","        1.15"
"29-Jan-2001","       21.74","        4.51","        1.17"
"30-Jan-2001","       22.35","        4.64","        1.14"
"31-Jan-2001","       22.22","        4.61","        1.15"
"01-Feb-2001","       22.02","        4.57","        1.16"
"02-Feb-2001","       22.34","        4.64","        1.14"
"05-Feb-2001","       22.40","        4.65","        1.14"
"06-Feb-2001","       22.47","        4.66","        1.13"
"07-Feb-2001","       22.22","        4.61","        1.15"
"08-Feb-2001","       22.62","        4.69","        1.13"
"09-Feb-2001","       22.78","        4.73","        1.12"
"12-Feb-2001","       22.73","        4.71","        1.08"
"13-Feb-2001","       22.55","        4.68","        1.09"
"14-Feb-2001","       20.89","        4.54","        1.09"
"15-Feb-2001","       21.24","        4.61","        1.07"
"16-Feb-2001","       20.71","        4.50","        1.09"
"19-Feb-2001","       20.76","        4.51","        1.09"
"20-Feb-2001","       20.73","        4.51","        1.09"
"21-Feb-2001","       20.52","        4.46","        1.10"
"22-Feb-2001","       20.30","        4.41","        1.12"
"23-Feb-2001","       19.78","        4.30","        1.15"
"26-Feb-2001","       19.66","        4.28","        1.15"
"27-Feb-2001","       19.41","        4.22","        1.17"
"28-Feb-2001","       20.24","        4.40","        1.12"
"01-Mar-2001","       20.34","        4.42","        1.11"
"02-Mar-2001","       19.57","        4.26","        1.16"
"05-Mar-2001","       19.04","        4.14","        1.19"
