"Date","P/E","P/B","Div Yield"
"01-Jan-2018","       26.68","        3.51","        1.09"
"02-Jan-2018","       26.70","        3.52","        1.09"
"03-Jan-2018","       26.70","        3.52","        1.09"
"04-Jan-2018","       26.86","        3.54","        1.08"
"05-Jan-2018","       26.99","        3.55","        1.07"
"08-Jan-2018","       27.16","        3.58","        1.07"
"09-Jan-2018","       27.19","        3.58","        1.07"
"10-Jan-2018","       27.18","        3.58","        1.07"
"11-Jan-2018","       27.23","        3.59","        1.06"
"12-Jan-2018","       27.28","        3.60","        1.06"
"15-Jan-2018","       27.06","        3.62","        1.06"
"16-Jan-2018","       26.96","        3.61","        1.06"
"17-Jan-2018","       27.18","        3.64","        1.05"
"18-Jan-2018","       27.25","        3.65","        1.05"
"19-Jan-2018","       27.44","        3.68","        1.04"
"22-Jan-2018","       27.62","        3.70","        1.03"
"23-Jan-2018","       27.81","        3.74","        1.02"
"24-Jan-2018","       27.66","        3.74","        1.02"
"25-Jan-2018","       27.61","        3.74","        1.02"
"29-Jan-2018","       27.71","        3.76","        1.02"
"30-Jan-2018","       27.51","        3.73","        1.03"
"31-Jan-2018","       27.50","        3.73","        1.03"
"01-Feb-2018","       27.48","        3.72","        1.03"
"02-Feb-2018","       26.04","        3.64","        1.05"
"05-Feb-2018","       25.78","        3.60","        1.06"
"06-Feb-2018","       25.37","        3.55","        1.08"
"07-Feb-2018","       25.32","        3.54","        1.08"
"08-Feb-2018","       25.56","        3.57","        1.07"
"09-Feb-2018","       25.27","        3.53","        1.08"
"12-Feb-2018","       25.48","        3.56","        1.07"
"14-Feb-2018","       25.37","        3.55","        1.08"
"15-Feb-2018","       25.45","        3.56","        1.07"
"16-Feb-2018","       25.32","        3.53","        1.08"
"19-Feb-2018","       25.14","        3.51","        1.09"
"20-Feb-2018","       25.09","        3.50","        1.09"
"21-Feb-2018","       25.18","        3.51","        1.09"
"22-Feb-2018","       25.49","        3.51","        1.09"
"23-Feb-2018","       25.75","        3.54","        1.13"
"26-Feb-2018","       25.95","        3.57","        1.12"
"27-Feb-2018","       25.87","        3.57","        1.12"
"28-Feb-2018","       25.68","        3.54","        1.13"
"01-Mar-2018","       25.59","        3.53","        1.19"
"05-Mar-2018","       25.40","        3.50","        1.20"
"06-Mar-2018","       25.02","        3.46","        1.21"
"07-Mar-2018","       24.79","        3.43","        1.28"
"08-Mar-2018","       25.00","        3.46","        1.27"
"09-Mar-2018","       24.97","        3.45","        1.28"
"12-Mar-2018","       25.44","        3.52","        1.25"
"13-Mar-2018","       25.45","        3.52","        1.25"
"14-Mar-2018","       25.41","        3.52","        1.25"
"15-Mar-2018","       25.28","        3.50","        1.26"
"16-Mar-2018","       24.87","        3.44","        1.28"
"19-Mar-2018","       24.61","        3.41","        1.29"
"20-Mar-2018","       24.69","        3.42","        1.29"
"21-Mar-2018","       24.76","        3.43","        1.28"
"22-Mar-2018","       24.67","        3.42","        1.29"
"23-Mar-2018","       24.38","        3.38","        1.30"
"26-Mar-2018","       24.70","        3.42","        1.29"
"27-Mar-2018","       24.83","        3.44","        1.28"
"28-Mar-2018","       24.66","        3.42","        1.29"
"02-Apr-2018","       25.35","        3.51","        1.26"
"03-Apr-2018","       25.43","        3.52","        1.25"
"04-Apr-2018","       25.14","        3.48","        1.27"
"05-Apr-2018","       25.63","        3.55","        1.24"
"06-Apr-2018","       25.65","        3.55","        1.24"
"09-Apr-2018","       25.76","        3.57","        1.23"
"10-Apr-2018","       25.82","        3.57","        1.23"
"11-Apr-2018","       25.86","        3.58","        1.23"
"12-Apr-2018","       25.96","        3.59","        1.23"
"13-Apr-2018","       26.01","        3.60","        1.22"
"16-Apr-2018","       26.13","        3.62","        1.22"
"17-Apr-2018","       26.18","        3.63","        1.22"
"18-Apr-2018","       26.13","        3.62","        1.22"
"19-Apr-2018","       26.23","        3.63","        1.21"
"20-Apr-2018","       26.22","        3.63","        1.21"
"23-Apr-2018","       26.27","        3.64","        1.21"
"24-Apr-2018","       26.35","        3.65","        1.21"
"25-Apr-2018","       26.24","        3.63","        1.21"
"26-Apr-2018","       26.36","        3.65","        1.21"
"27-Apr-2018","       26.54","        3.67","        1.20"
"30-Apr-2018","       26.66","        3.69","        1.19"
"02-May-2018","       26.60","        3.68","        1.20"
"03-May-2018","       26.51","        3.67","        1.20"
"04-May-2018","       26.36","        3.65","        1.21"
"07-May-2018","       26.60","        3.68","        1.20"
"08-May-2018","       26.60","        3.68","        1.20"
"09-May-2018","       26.66","        3.69","        1.19"
"10-May-2018","       26.60","        3.68","        1.20"
"11-May-2018","       26.82","        3.71","        1.19"
"14-May-2018","       26.82","        3.71","        1.19"
"15-May-2018","       26.81","        3.71","        1.19"
"16-May-2018","       26.66","        3.69","        1.19"
"17-May-2018","       26.52","        3.67","        1.20"
"18-May-2018","       26.27","        3.64","        1.21"
"21-May-2018","       26.08","        3.61","        1.22"
"22-May-2018","       26.13","        3.62","        1.22"
"23-May-2018","       25.86","        3.58","        1.23"
"24-May-2018","       26.07","        3.61","        1.22"
"25-May-2018","       26.24","        3.64","        1.21"
"28-May-2018","       27.23","        3.67","        1.20"
"29-May-2018","       27.06","        3.65","        1.21"
"30-May-2018","       27.01","        3.65","        1.21"
"31-May-2018","       27.19","        3.69","        1.23"
"01-Jun-2018","       27.09","        3.68","        1.23"
"04-Jun-2018","       26.92","        3.66","        1.24"
"05-Jun-2018","       26.83","        3.64","        1.25"
"06-Jun-2018","       27.06","        3.67","        1.23"
"07-Jun-2018","       27.27","        3.70","        1.23"
"08-Jun-2018","       27.27","        3.70","        1.23"
"11-Jun-2018","       27.47","        3.71","        1.22"
"12-Jun-2018","       27.60","        3.73","        1.22"
"13-Jun-2018","       27.54","        3.73","        1.22"
