"Date","P/E","P/B","Div Yield"
"01-Jan-2008","       27.64","        6.40","        0.84"
"02-Jan-2008","       27.80","        6.43","        0.83"
"03-Jan-2008","       27.80","        6.43","        0.83"
"04-Jan-2008","       28.23","        6.53","        0.82"
"07-Jan-2008","       28.25","        6.54","        0.82"
"08-Jan-2008","       28.29","        6.55","        0.82"
"09-Jan-2008","       28.22","        6.53","        0.82"
"10-Jan-2008","       27.70","        6.41","        0.83"
"11-Jan-2008","       27.86","        6.46","        0.83"
"14-Jan-2008","       27.89","        6.47","        0.83"
"15-Jan-2008","       27.30","        6.33","        0.85"
"16-Jan-2008","       26.67","        6.18","        0.87"
"17-Jan-2008","       25.47","        6.16","        0.87"
"18-Jan-2008","       24.49","        5.94","        0.90"
"21-Jan-2008","       22.33","        5.43","        0.99"
"22-Jan-2008","       20.96","        5.10","        1.05"
"23-Jan-2008","       22.26","        5.42","        0.99"
"24-Jan-2008","       21.52","        5.24","        1.02"
"25-Jan-2008","       22.88","        5.61","        0.95"
"28-Jan-2008","       22.60","        5.52","        0.97"
"29-Jan-2008","       22.55","        5.53","        0.97"
"30-Jan-2008","       22.02","        5.41","        0.99"
"31-Jan-2008","       21.97","        5.38","        0.99"
"01-Feb-2008","       22.68","        5.57","        0.96"
"04-Feb-2008","       23.31","        5.72","        0.94"
"05-Feb-2008","       23.40","        5.74","        0.93"
"06-Feb-2008","       22.71","        5.58","        0.96"
"07-Feb-2008","       21.90","        5.38","        1.00"
"08-Feb-2008","       21.85","        5.36","        1.00"
"11-Feb-2008","       20.72","        5.09","        1.05"
"12-Feb-2008","       20.64","        5.07","        1.06"
"13-Feb-2008","       21.03","        5.16","        1.04"
"14-Feb-2008","       22.19","        5.45","        0.98"
"15-Feb-2008","       22.62","        5.56","        0.96"
"18-Feb-2008","       22.51","        5.53","        0.97"
"19-Feb-2008","       22.52","        5.53","        0.97"
"20-Feb-2008","       21.98","        5.40","        0.99"
"21-Feb-2008","       22.14","        5.44","        0.98"
"22-Feb-2008","       21.79","        5.35","        1.00"
"25-Feb-2008","       22.17","        5.45","        0.98"
"26-Feb-2008","       22.47","        5.52","        0.97"
"27-Feb-2008","       22.46","        5.52","        0.97"
"28-Feb-2008","       22.53","        5.54","        0.97"
"29-Feb-2008","       22.27","        5.47","        0.98"
"03-Mar-2008","       21.12","        5.19","        1.03"
"04-Mar-2008","       20.74","        5.10","        1.05"
"05-Mar-2008","       20.98","        5.16","        1.04"
"07-Mar-2008","       20.35","        5.00","        1.07"
"10-Mar-2008","       20.47","        5.03","        1.06"
"11-Mar-2008","       20.75","        5.10","        1.05"
"12-Mar-2008","       20.78","        5.11","        1.05"
"13-Mar-2008","       19.72","        4.81","        1.13"
"14-Mar-2008","       20.68","        5.10","        1.06"
"17-Mar-2008","       19.62","        4.84","        1.12"
"18-Mar-2008","       19.75","        4.87","        1.11"
"19-Mar-2008","       19.93","        4.91","        1.10"
"24-Mar-2008","       20.09","        4.95","        1.09"
"25-Mar-2008","       21.25","        5.24","        1.03"
"26-Mar-2008","       21.05","        5.19","        1.04"
"27-Mar-2008","       21.05","        5.19","        1.04"
"28-Mar-2008","       21.54","        5.31","        1.02"
"31-Mar-2008","       20.63","        5.09","        1.06"
"01-Apr-2008","       20.66","        5.09","        1.06"
"02-Apr-2008","       20.72","        5.11","        1.06"
"03-Apr-2008","       20.80","        5.13","        1.05"
"04-Apr-2008","       20.25","        4.99","        1.08"
"07-Apr-2008","       20.75","        5.12","        1.05"
"08-Apr-2008","       20.53","        5.06","        1.07"
"09-Apr-2008","       20.69","        5.10","        1.06"
"10-Apr-2008","       20.63","        5.09","        1.06"
"11-Apr-2008","       20.82","        5.13","        1.05"
"15-Apr-2008","       21.26","        5.24","        1.03"
"16-Apr-2008","       21.29","        5.25","        1.03"
"17-Apr-2008","       21.60","        5.33","        1.01"
"21-Apr-2008","       21.92","        5.41","        1.00"
"22-Apr-2008","       21.80","        5.43","        0.99"
"23-Apr-2008","       21.69","        5.40","        1.00"
"24-Apr-2008","       21.57","        5.37","        1.00"
"25-Apr-2008","       21.96","        5.49","        0.98"
"28-Apr-2008","       21.85","        5.47","        0.99"
"29-Apr-2008","       22.31","        5.58","        0.97"
"30-Apr-2008","       22.17","        5.55","        0.97"
"02-May-2008","       22.42","        5.62","        0.96"
"05-May-2008","       22.20","        5.58","        0.97"
"06-May-2008","       22.02","        5.53","        0.97"
"07-May-2008","       21.98","        5.52","        0.98"
"08-May-2008","       21.75","        5.47","        0.99"
"09-May-2008","       21.32","        5.36","        1.01"
"12-May-2008","       21.45","        5.39","        1.00"
"13-May-2008","       21.21","        5.33","        1.01"
"14-May-2008","       21.44","        5.39","        1.00"
"15-May-2008","       21.84","        5.50","        0.98"
"16-May-2008","       21.94","        5.55","        0.97"
"20-May-2008","       21.72","        5.49","        0.98"
"21-May-2008","       21.77","        5.50","        0.98"
"22-May-2008","       21.38","        5.40","        1.00"
"23-May-2008","       21.03","        5.32","        1.01"
"26-May-2008","       20.73","        5.01","        1.09"
"27-May-2008","       20.67","        5.00","        1.09"
"28-May-2008","       20.92","        5.06","        1.08"
"29-May-2008","       20.59","        4.97","        1.10"
"30-May-2008","       20.74","        5.01","        1.09"
"02-Jun-2008","       20.17","        4.87","        1.12"
