"Date","P/E","P/B","Div Yield"
"03-Jan-2011","       24.57","        3.88","        1.01"
"04-Jan-2011","       24.53","        3.87","        1.01"
"05-Jan-2011","       24.26","        3.83","        1.03"
"06-Jan-2011","       24.14","        3.81","        1.03"
"07-Jan-2011","       23.56","        3.72","        1.06"
"10-Jan-2011","       23.01","        3.63","        1.08"
"11-Jan-2011","       22.98","        3.63","        1.08"
"12-Jan-2011","       23.41","        3.70","        1.06"
"13-Jan-2011","       22.92","        3.63","        1.08"
"14-Jan-2011","       22.50","        3.57","        1.10"
"17-Jan-2011","       22.50","        3.57","        1.10"
"18-Jan-2011","       22.66","        3.61","        1.09"
"19-Jan-2011","       22.51","        3.59","        1.09"
"20-Jan-2011","       22.59","        3.60","        1.09"
"21-Jan-2011","       22.41","        3.59","        1.09"
"24-Jan-2011","       22.26","        3.62","        1.08"
"25-Jan-2011","       21.96","        3.59","        1.10"
"27-Jan-2011","       21.64","        3.53","        1.11"
"28-Jan-2011","       21.23","        3.48","        1.13"
"31-Jan-2011","       21.06","        3.47","        1.13"
"01-Feb-2011","       20.70","        3.42","        1.15"
"02-Feb-2011","       20.80","        3.43","        1.15"
"03-Feb-2011","       21.16","        3.49","        1.13"
"04-Feb-2011","       20.67","        3.40","        1.15"
"07-Feb-2011","       20.69","        3.41","        1.15"
"08-Feb-2011","       20.35","        3.35","        1.17"
"09-Feb-2011","       20.12","        3.32","        1.19"
"10-Feb-2011","       20.01","        3.30","        1.19"
"11-Feb-2011","       20.34","        3.35","        1.17"
"14-Feb-2011","       20.86","        3.45","        1.14"
"15-Feb-2011","       20.96","        3.47","        1.13"
"16-Feb-2011","       20.95","        3.47","        1.13"
"17-Feb-2011","       21.19","        3.51","        1.12"
"18-Feb-2011","       20.86","        3.46","        1.14"
"21-Feb-2011","       21.09","        3.49","        1.13"
"22-Feb-2011","       20.90","        3.46","        1.14"
"23-Feb-2011","       20.82","        3.44","        1.14"
"24-Feb-2011","       20.15","        3.33","        1.18"
"25-Feb-2011","       20.31","        3.36","        1.17"
"28-Feb-2011","       20.42","        3.38","        1.17"
"01-Mar-2011","       21.14","        3.50","        1.13"
"03-Mar-2011","       21.20","        3.51","        1.12"
"04-Mar-2011","       21.21","        3.51","        1.12"
"07-Mar-2011","       20.92","        3.46","        1.14"
"08-Mar-2011","       21.14","        3.50","        1.13"
"09-Mar-2011","       21.18","        3.50","        1.12"
"10-Mar-2011","       21.04","        3.48","        1.13"
"11-Mar-2011","       20.85","        3.45","        1.14"
"14-Mar-2011","       21.18","        3.50","        1.12"
"15-Mar-2011","       20.87","        3.45","        1.14"
"16-Mar-2011","       21.10","        3.49","        1.13"
"17-Mar-2011","       20.86","        3.45","        1.14"
"18-Mar-2011","       20.58","        3.40","        1.16"
"21-Mar-2011","       20.54","        3.40","        1.16"
"22-Mar-2011","       20.73","        3.43","        1.15"
"23-Mar-2011","       20.99","        3.47","        1.13"
"24-Mar-2011","       21.15","        3.50","        1.13"
"25-Mar-2011","       21.46","        3.59","        1.10"
"28-Mar-2011","       21.59","        3.61","        1.10"
"29-Mar-2011","       21.77","        3.64","        1.09"
"30-Mar-2011","       21.97","        3.67","        1.08"
"31-Mar-2011","       22.14","        3.70","        1.07"
"01-Apr-2011","       22.11","        3.70","        1.07"
"04-Apr-2011","       22.43","        3.75","        1.06"
"05-Apr-2011","       22.43","        3.75","        1.06"
"06-Apr-2011","       22.36","        3.74","        1.06"
"07-Apr-2011","       22.34","        3.73","        1.06"
"08-Apr-2011","       22.18","        3.71","        1.07"
"11-Apr-2011","       21.96","        3.67","        1.08"
"13-Apr-2011","       22.43","        3.75","        1.06"
"15-Apr-2011","       22.02","        3.69","        1.07"
"18-Apr-2011","       21.66","        3.63","        1.09"
"19-Apr-2011","       21.65","        3.64","        1.09"
"20-Apr-2011","       22.06","        3.71","        1.07"
"21-Apr-2011","       22.18","        3.73","        1.06"
"25-Apr-2011","       21.94","        3.73","        1.06"
"26-Apr-2011","       21.91","        3.72","        1.06"
"27-Apr-2011","       21.79","        3.70","        1.07"
"28-Apr-2011","       21.61","        3.67","        1.08"
"29-Apr-2011","       21.36","        3.65","        1.09"
"02-May-2011","       21.19","        3.62","        1.09"
"03-May-2011","       20.68","        3.53","        1.12"
"04-May-2011","       20.58","        3.51","        1.13"
"05-May-2011","       20.32","        3.43","        1.23"
"06-May-2011","       20.67","        3.49","        1.21"
"09-May-2011","       20.66","        3.49","        1.21"
"10-May-2011","       20.61","        3.48","        1.22"
"11-May-2011","       20.71","        3.50","        1.21"
"12-May-2011","       20.40","        3.45","        1.23"
"13-May-2011","       20.60","        3.48","        1.22"
"16-May-2011","       20.39","        3.45","        1.23"
"17-May-2011","       20.16","        3.41","        1.24"
"18-May-2011","       20.18","        3.40","        1.25"
"19-May-2011","       20.20","        3.41","        1.24"
