"Date","P/E","P/B","Div Yield"
"02-Jan-2012","       16.79","        2.77","        1.63"
"03-Jan-2012","       17.26","        2.82","        1.60"
"04-Jan-2012","       17.20","        2.81","        1.60"
"05-Jan-2012","       17.20","        2.80","        1.60"
"06-Jan-2012","       17.22","        2.80","        1.60"
"07-Jan-2012","       17.19","        2.80","        1.60"
"09-Jan-2012","       17.18","        2.79","        1.60"
"10-Jan-2012","       17.56","        2.86","        1.57"
"11-Jan-2012","       17.61","        2.86","        1.57"
"12-Jan-2012","       17.50","        2.85","        1.58"
"13-Jan-2012","       17.50","        2.87","        1.56"
"16-Jan-2012","       17.53","        2.87","        1.56"
"17-Jan-2012","       17.85","        2.92","        1.53"
"18-Jan-2012","       17.81","        2.90","        1.54"
"19-Jan-2012","       18.03","        2.94","        1.53"
"20-Jan-2012","       18.14","        2.96","        1.52"
"23-Jan-2012","       18.14","        2.96","        1.52"
"24-Jan-2012","       18.28","        3.01","        1.49"
"25-Jan-2012","       18.38","        2.99","        1.51"
"27-Jan-2012","       18.55","        3.02","        1.49"
"30-Jan-2012","       18.13","        2.95","        1.53"
"31-Jan-2012","       18.53","        3.02","        1.49"
"01-Feb-2012","       18.66","        3.04","        1.48"
"02-Feb-2012","       18.77","        3.06","        1.47"
"03-Feb-2012","       18.97","        3.03","        1.48"
"06-Feb-2012","       19.13","        3.05","        1.47"
"07-Feb-2012","       19.02","        3.04","        1.47"
"08-Feb-2012","       19.14","        3.04","        1.48"
"09-Feb-2012","       19.30","        3.06","        1.45"
"10-Feb-2012","       19.00","        3.02","        1.47"
"13-Feb-2012","       18.94","        3.03","        1.47"
"14-Feb-2012","       18.95","        3.04","        1.46"
"15-Feb-2012","       19.35","        3.11","        1.43"
"16-Feb-2012","       19.34","        3.10","        1.43"
"17-Feb-2012","       19.49","        3.12","        1.42"
"21-Feb-2012","       19.64","        3.16","        1.41"
"22-Feb-2012","       19.29","        3.10","        1.44"
"23-Feb-2012","       19.21","        3.09","        1.44"
"24-Feb-2012","       19.02","        3.06","        1.46"
"27-Feb-2012","       18.50","        2.98","        1.50"
"28-Feb-2012","       19.05","        3.03","        1.47"
"29-Feb-2012","       19.09","        3.04","        1.47"
"01-Mar-2012","       18.92","        3.01","        1.48"
"02-Mar-2012","       18.99","        3.04","        1.48"
"03-Mar-2012","       18.99","        3.04","        1.48"
"05-Mar-2012","       18.71","        2.99","        1.50"
"06-Mar-2012","       18.51","        2.96","        1.52"
"07-Mar-2012","       18.50","        2.96","        1.52"
"09-Mar-2012","       18.90","        3.02","        1.48"
"12-Mar-2012","       18.94","        3.05","        1.49"
"13-Mar-2012","       19.18","        3.09","        1.47"
"14-Mar-2012","       19.31","        3.10","        1.46"
"15-Mar-2012","       19.01","        3.06","        1.48"
"16-Mar-2012","       18.79","        3.02","        1.50"
"19-Mar-2012","       18.58","        2.99","        1.51"
"20-Mar-2012","       18.64","        3.00","        1.51"
"21-Mar-2012","       18.96","        3.05","        1.48"
"22-Mar-2012","       18.47","        2.97","        1.52"
"23-Mar-2012","       18.65","        3.00","        1.51"
"26-Mar-2012","       18.32","        2.95","        1.54"
"27-Mar-2012","       18.53","        2.98","        1.52"
"28-Mar-2012","       18.36","        2.95","        1.53"
"29-Mar-2012","       18.30","        2.94","        1.54"
"30-Mar-2012","       18.71","        3.01","        1.50"
"02-Apr-2012","       18.79","        3.02","        1.50"
"03-Apr-2012","       18.93","        3.04","        1.49"
"04-Apr-2012","       18.81","        3.02","        1.50"
"09-Apr-2012","       18.50","        2.97","        1.52"
"10-Apr-2012","       18.53","        2.98","        1.52"
"11-Apr-2012","       18.47","        2.97","        1.52"
"12-Apr-2012","       18.65","        3.00","        1.51"
"13-Apr-2012","       18.30","        2.96","        1.53"
"16-Apr-2012","       18.41","        2.98","        1.52"
"17-Apr-2012","       18.63","        3.01","        1.50"
"18-Apr-2012","       18.67","        3.02","        1.50"
"19-Apr-2012","       18.72","        3.04","        1.49"
"20-Apr-2012","       18.58","        3.02","        1.50"
"23-Apr-2012","       18.26","        2.96","        1.53"
"24-Apr-2012","       18.34","        2.98","        1.52"
"25-Apr-2012","       18.27","        2.96","        1.53"
"26-Apr-2012","       18.22","        2.96","        1.53"
"27-Apr-2012","       17.93","        3.04","        1.54"
"28-Apr-2012","       17.99","        3.05","        1.54"
"30-Apr-2012","       18.12","        3.08","        1.52"
"02-May-2012","       17.99","        3.07","        1.53"
"03-May-2012","       17.81","        3.04","        1.54"
"04-May-2012","       17.45","        2.98","        1.57"
"07-May-2012","       17.54","        3.00","        1.56"
"08-May-2012","       17.15","        2.93","        1.60"
"09-May-2012","       17.03","        2.92","        1.61"
"10-May-2012","       17.00","        2.91","        1.61"
"11-May-2012","       16.87","        2.89","        1.62"
"14-May-2012","       16.95","        2.88","        1.63"
"15-May-2012","       17.04","        2.90","        1.62"
"16-May-2012","       16.74","        2.85","        1.64"
"17-May-2012","       16.78","        2.86","        1.64"
"18-May-2012","       16.85","        2.87","        1.63"
"21-May-2012","       16.62","        2.88","        1.63"
"22-May-2012","       16.46","        2.85","        1.64"
"23-May-2012","       16.38","        2.84","        1.65"
"24-May-2012","       16.69","        2.89","        1.62"
"25-May-2012","       16.68","        2.89","        1.62"
"28-May-2012","       16.90","        2.93","        1.60"
"29-May-2012","       16.90","        2.93","        1.60"
"30-May-2012","       16.75","        2.90","        1.65"
"31-May-2012","       16.66","        2.89","        1.66"
"01-Jun-2012","       16.36","        2.84","        1.69"
"04-Jun-2012","       16.28","        2.84","        1.68"
"05-Jun-2012","       16.33","        2.80","        1.68"
"06-Jun-2012","       16.78","        2.86","        1.60"
"07-Jun-2012","       16.96","        2.89","        1.58"
"08-Jun-2012","       16.83","        2.90","        1.58"
"11-Jun-2012","       16.79","        2.89","        1.58"
"12-Jun-2012","       16.99","        2.93","        1.56"
"13-Jun-2012","       16.99","        2.93","        1.56"
"14-Jun-2012","       16.77","        2.89","        1.58"
"15-Jun-2012","       17.05","        2.94","        1.55"
"18-Jun-2012","       16.80","        2.90","        1.58"
"19-Jun-2012","       16.93","        2.92","        1.57"
"20-Jun-2012","       16.98","        2.93","        1.56"
"21-Jun-2012","       17.13","        2.96","        1.55"
"22-Jun-2012","       17.07","        2.94","        1.55"
"25-Jun-2012","       16.96","        2.93","        1.56"
"26-Jun-2012","       16.99","        2.93","        1.56"
"27-Jun-2012","       17.06","        2.94","        1.55"
"28-Jun-2012","       17.08","        2.95","        1.55"
"29-Jun-2012","       17.51","        3.02","        1.51"
"02-Jul-2012","       17.51","        3.02","        1.51"
"03-Jul-2012","       17.54","        3.03","        1.51"
"04-Jul-2012","       17.59","        3.03","        1.51"
"05-Jul-2012","       17.67","        3.05","        1.50"
"06-Jul-2012","       17.64","        3.04","        1.50"
"09-Jul-2012","       17.50","        3.02","        1.51"
"10-Jul-2012","       17.74","        3.06","        1.49"
"11-Jul-2012","       17.61","        3.04","        1.51"
"12-Jul-2012","       17.37","        3.00","        1.53"
"13-Jul-2012","       17.20","        2.99","        1.53"
"16-Jul-2012","       17.05","        2.98","        1.54"
"17-Jul-2012","       17.04","        2.97","        1.54"
"18-Jul-2012","       17.11","        2.99","        1.53"
"19-Jul-2012","       17.18","        3.00","        1.52"
"20-Jul-2012","       17.08","        2.98","        1.53"
"23-Jul-2012","       16.90","        2.93","        1.56"
"24-Jul-2012","       16.86","        2.94","        1.56"
"25-Jul-2012","       16.80","        2.89","        1.58"
"26-Jul-2012","       16.62","        2.85","        1.60"
"27-Jul-2012","       16.68","        2.89","        1.58"
"30-Jul-2012","       17.00","        2.94","        1.55"
"31-Jul-2012","       17.09","        2.96","        1.54"
"01-Aug-2012","       17.13","        2.97","        1.54"
"02-Aug-2012","       17.07","        2.96","        1.54"
"03-Aug-2012","       17.03","        2.95","        1.54"
"06-Aug-2012","       17.25","        2.99","        1.52"
"07-Aug-2012","       17.43","        3.02","        1.51"
"08-Aug-2012","       17.43","        3.02","        1.51"
"09-Aug-2012","       17.35","        3.01","        1.51"
"10-Aug-2012","       17.34","        3.01","        1.51"
"13-Aug-2012","       17.51","        3.03","        1.50"
"14-Aug-2012","       17.88","        3.04","        1.52"
"16-Aug-2012","       17.97","        2.99","        1.51"
"17-Aug-2012","       17.97","        2.92","        1.54"
"21-Aug-2012","       18.19","        2.95","        1.53"
"22-Aug-2012","       18.16","        2.95","        1.53"
"23-Aug-2012","       18.17","        2.95","        1.53"
"24-Aug-2012","       18.07","        2.94","        1.54"
"27-Aug-2012","       17.95","        2.92","        1.55"
"28-Aug-2012","       17.90","        2.91","        1.55"
"29-Aug-2012","       17.74","        2.88","        1.56"
"30-Aug-2012","       17.83","        2.90","        1.56"
"31-Aug-2012","       17.64","        2.87","        1.57"
"03-Sep-2012","       17.63","        2.86","        1.58"
"04-Sep-2012","       17.69","        2.87","        1.57"
"05-Sep-2012","       17.53","        2.85","        1.58"
"06-Sep-2012","       17.58","        2.85","        1.58"
"07-Sep-2012","       17.92","        2.91","        1.55"
"08-Sep-2012","       17.98","        2.92","        1.54"
"10-Sep-2012","       17.99","        2.92","        1.54"
"11-Sep-2012","       18.11","        2.94","        1.53"
"12-Sep-2012","       18.24","        2.96","        1.52"
"13-Sep-2012","       18.26","        2.97","        1.52"
"14-Sep-2012","       18.74","        3.04","        1.48"
"17-Sep-2012","       18.85","        3.06","        1.47"
"18-Sep-2012","       18.81","        3.06","        1.48"
"20-Sep-2012","       18.66","        3.03","        1.49"
"21-Sep-2012","       19.12","        3.10","        1.45"
"24-Sep-2012","       19.05","        3.09","        1.46"
"25-Sep-2012","       19.06","        3.10","        1.46"
"26-Sep-2012","       19.02","        3.09","        1.46"
"27-Sep-2012","       18.98","        3.06","        1.46"
"28-Sep-2012","       19.17","        3.18","        1.42"
"01-Oct-2012","       19.22","        3.19","        1.41"
