"Date","P/E","P/B","Div Yield"
"02-Jan-2017","       22.08","        3.10","        1.35"
"03-Jan-2017","       22.12","        3.11","        1.35"
"04-Jan-2017","       21.94","        3.11","        1.35"
"05-Jan-2017","       22.17","        3.14","        1.33"
"06-Jan-2017","       22.09","        3.13","        1.34"
"09-Jan-2017","       22.07","        3.12","        1.34"
"10-Jan-2017","       22.39","        3.14","        1.33"
"11-Jan-2017","       22.42","        3.18","        1.32"
"12-Jan-2017","       22.50","        3.19","        1.31"
"13-Jan-2017","       22.47","        3.18","        1.31"
"16-Jan-2017","       22.50","        3.19","        1.31"
"17-Jan-2017","       22.40","        3.18","        1.32"
"18-Jan-2017","       22.39","        3.19","        1.31"
"19-Jan-2017","       22.44","        3.20","        1.31"
"20-Jan-2017","       22.37","        3.17","        1.32"
"23-Jan-2017","       22.48","        3.18","        1.32"
"24-Jan-2017","       22.64","        3.21","        1.30"
"25-Jan-2017","       22.98","        3.26","        1.28"
"27-Jan-2017","       23.00","        3.28","        1.28"
"30-Jan-2017","       22.98","        3.27","        1.28"
"31-Jan-2017","       22.86","        3.25","        1.29"
"01-Feb-2017","       23.27","        3.30","        1.27"
"02-Feb-2017","       23.38","        3.31","        1.26"
"03-Feb-2017","       23.29","        3.31","        1.26"
"06-Feb-2017","       23.43","        3.34","        1.25"
"07-Feb-2017","       23.31","        3.32","        1.26"
"08-Feb-2017","       23.28","        3.32","        1.26"
"09-Feb-2017","       23.31","        3.33","        1.26"
"10-Feb-2017","       23.34","        3.33","        1.26"
"13-Feb-2017","       23.15","        3.34","        1.25"
"14-Feb-2017","       23.05","        3.33","        1.26"
"15-Feb-2017","       22.84","        3.31","        1.27"
"16-Feb-2017","       23.08","        3.33","        1.26"
"17-Feb-2017","       23.10","        3.34","        1.25"
"20-Feb-2017","       23.19","        3.37","        1.24"
"21-Feb-2017","       23.27","        3.38","        1.24"
"22-Feb-2017","       23.32","        3.38","        1.24"
"23-Feb-2017","       23.36","        3.39","        1.24"
"27-Feb-2017","       23.21","        3.37","        1.25"
"28-Feb-2017","       23.13","        3.37","        1.25"
"01-Mar-2017","       23.30","        3.39","        1.24"
"02-Mar-2017","       23.11","        3.37","        1.25"
"03-Mar-2017","       23.10","        3.37","        1.25"
"06-Mar-2017","       23.27","        3.40","        1.24"
"07-Mar-2017","       23.23","        3.39","        1.24"
"08-Mar-2017","       23.17","        3.38","        1.24"
"09-Mar-2017","       23.18","        3.38","        1.24"
"10-Mar-2017","       23.20","        3.39","        1.24"
"14-Mar-2017","       23.59","        3.44","        1.22"
"15-Mar-2017","       23.59","        3.44","        1.22"
"16-Mar-2017","       23.77","        3.47","        1.21"
"17-Mar-2017","       23.78","        3.47","        1.21"
"20-Mar-2017","       23.70","        3.46","        1.22"
"21-Mar-2017","       23.68","        3.46","        1.22"
"22-Mar-2017","       23.45","        3.42","        1.23"
"23-Mar-2017","       23.59","        3.44","        1.22"
"24-Mar-2017","       23.65","        3.45","        1.22"
"27-Mar-2017","       23.49","        3.43","        1.23"
"28-Mar-2017","       23.63","        3.45","        1.22"
"29-Mar-2017","       23.74","        3.47","        1.21"
"30-Mar-2017","       23.82","        3.48","        1.21"
"31-Mar-2017","       23.26","        3.50","        1.25"
"03-Apr-2017","       23.42","        3.53","        1.25"
"05-Apr-2017","       23.49","        3.54","        1.24"
"06-Apr-2017","       23.48","        3.53","        1.24"
"07-Apr-2017","       23.32","        3.51","        1.25"
"10-Apr-2017","       23.28","        3.50","        1.25"
"11-Apr-2017","       23.42","        3.52","        1.25"
"12-Apr-2017","       23.33","        3.51","        1.25"
"13-Apr-2017","       23.20","        3.49","        1.26"
"17-Apr-2017","       23.17","        3.49","        1.26"
"18-Apr-2017","       23.08","        3.47","        1.26"
"19-Apr-2017","       23.08","        3.47","        1.26"
"20-Apr-2017","       23.16","        3.49","        1.26"
"21-Apr-2017","       23.12","        3.48","        1.26"
"24-Apr-2017","       23.41","        3.52","        1.25"
"25-Apr-2017","       23.64","        3.56","        1.23"
"26-Apr-2017","       23.75","        3.57","        1.23"
"27-Apr-2017","       23.73","        3.57","        1.23"
"28-Apr-2017","       23.63","        3.55","        1.23"
"02-May-2017","       23.66","        3.56","        1.23"
"03-May-2017","       23.65","        3.56","        1.23"
"04-May-2017","       23.77","        3.58","        1.23"
"05-May-2017","       23.59","        3.55","        1.24"
"08-May-2017","       23.66","        3.56","        1.23"
"09-May-2017","       23.67","        3.56","        1.23"
"10-May-2017","       23.89","        3.59","        1.22"
"11-May-2017","       23.93","        3.60","        1.22"
"12-May-2017","       23.88","        3.59","        1.22"
"15-May-2017","       23.99","        3.61","        1.22"
"16-May-2017","       24.16","        3.63","        1.21"
"17-May-2017","       25.23","        3.64","        1.20"
"18-May-2017","       24.91","        3.60","        1.22"
"19-May-2017","       24.91","        3.60","        1.22"
"22-May-2017","       24.94","        3.61","        1.22"
"23-May-2017","       24.80","        3.59","        1.22"
"24-May-2017","       24.73","        3.58","        1.23"
"25-May-2017","       24.88","        3.63","        1.21"
"26-May-2017","       24.32","        3.62","        1.19"
"29-May-2017","       24.31","        3.62","        1.19"
"30-May-2017","       24.36","        3.63","        1.19"
"31-May-2017","       24.35","        3.62","        1.19"
"01-Jun-2017","       24.34","        3.62","        1.19"
"02-Jun-2017","       24.43","        3.63","        1.18"
"05-Jun-2017","       24.45","        3.64","        1.18"
"06-Jun-2017","       24.35","        3.63","        1.19"
"07-Jun-2017","       24.48","        3.64","        1.18"
"08-Jun-2017","       24.43","        3.63","        1.18"
"09-Jun-2017","       24.38","        3.64","        1.18"
"12-Jun-2017","       24.25","        3.62","        1.19"
"13-Jun-2017","       24.27","        3.62","        1.19"
"14-Jun-2017","       24.29","        3.62","        1.19"
"15-Jun-2017","       24.19","        3.60","        1.19"
"16-Jun-2017","       24.00","        3.56","        1.11"
"19-Jun-2017","       24.37","        3.58","        1.10"
"20-Jun-2017","       24.36","        3.58","        1.10"
"21-Jun-2017","       24.31","        3.57","        1.11"
"22-Jun-2017","       24.49","        3.57","        1.11"
"23-Jun-2017","       24.37","        3.54","        1.11"
"27-Jun-2017","       24.21","        3.52","        1.12"
"28-Jun-2017","       24.15","        3.51","        1.12"
"29-Jun-2017","       24.19","        3.52","        1.12"
"30-Jun-2017","       24.23","        3.52","        1.12"
"03-Jul-2017","       24.47","        3.56","        1.11"
"04-Jul-2017","       24.47","        3.56","        1.11"
"05-Jul-2017","       24.53","        3.57","        1.11"
"06-Jul-2017","       24.62","        3.58","        1.10"
"07-Jul-2017","       24.60","        3.58","        1.10"
"10-Jul-2017","       24.87","        3.62","        1.09"
"11-Jul-2017","       24.91","        3.62","        1.09"
"12-Jul-2017","       24.98","        3.63","        1.09"
"13-Jul-2017","       25.17","        3.66","        1.08"
"14-Jul-2017","       25.12","        3.66","        1.08"
"17-Jul-2017","       25.17","        3.67","        1.08"
"18-Jul-2017","       25.10","        3.56","        1.06"
"19-Jul-2017","       25.28","        3.53","        1.01"
"20-Jul-2017","       25.22","        3.52","        1.01"
"21-Jul-2017","       25.32","        3.53","        1.01"
"24-Jul-2017","       25.45","        3.55","        1.00"
"25-Jul-2017","       25.45","        3.55","        1.00"
"26-Jul-2017","       25.57","        3.57","        1.00"
"27-Jul-2017","       25.56","        3.57","        1.00"
"28-Jul-2017","       25.56","        3.49","        0.96"
"31-Jul-2017","       25.69","        3.51","        0.95"
