"Date","P/E","P/B","Div Yield"
"02-Jan-2007","       21.48","        5.12","        1.20"
"03-Jan-2007","       21.57","        5.14","        1.20"
"04-Jan-2007","       21.38","        5.10","        1.21"
"05-Jan-2007","       21.35","        5.09","        1.21"
"08-Jan-2007","       21.08","        5.03","        1.23"
"09-Jan-2007","       20.97","        5.00","        1.23"
"10-Jan-2007","       20.64","        4.92","        1.25"
"11-Jan-2007","       21.04","        5.04","        1.22"
"12-Jan-2007","       21.63","        5.16","        1.18"
"15-Jan-2007","       21.77","        5.19","        1.17"
"16-Jan-2007","       21.67","        5.19","        1.17"
"17-Jan-2007","       21.59","        5.19","        1.17"
"18-Jan-2007","       21.74","        5.23","        1.16"
"19-Jan-2007","       21.43","        5.21","        1.17"
"22-Jan-2007","       21.42","        5.22","        1.16"
"23-Jan-2007","       20.96","        5.18","        1.17"
"24-Jan-2007","       21.07","        5.21","        1.16"
"25-Jan-2007","       21.35","        5.29","        1.15"
"29-Jan-2007","       20.88","        5.26","        1.15"
"31-Jan-2007","       19.85","        5.20","        1.17"
"01-Feb-2007","       19.95","        5.27","        1.15"
"02-Feb-2007","       20.12","        5.33","        1.14"
"05-Feb-2007","       20.27","        5.37","        1.13"
"06-Feb-2007","       20.18","        5.35","        1.14"
"07-Feb-2007","       20.32","        5.38","        1.13"
"08-Feb-2007","       20.31","        5.38","        1.13"
"09-Feb-2007","       20.14","        5.33","        1.14"
"12-Feb-2007","       19.52","        5.17","        1.17"
"13-Feb-2007","       19.45","        5.15","        1.18"
"14-Feb-2007","       19.47","        5.15","        1.18"
"15-Feb-2007","       19.94","        5.28","        1.15"
"19-Feb-2007","       20.02","        5.30","        1.14"
"20-Feb-2007","       19.74","        5.23","        1.16"
"21-Feb-2007","       19.69","        5.22","        1.16"
"22-Feb-2007","       19.42","        5.14","        1.18"
"23-Feb-2007","       18.94","        5.02","        1.21"
"26-Feb-2007","       18.95","        5.02","        1.21"
"27-Feb-2007","       18.72","        4.96","        1.22"
"28-Feb-2007","       18.01","        4.77","        1.27"
"01-Mar-2007","       18.33","        4.86","        1.25"
"02-Mar-2007","       17.92","        4.75","        1.28"
