"Date","P/E","P/B","Div Yield"
"01-Jan-2009","       13.30","        2.50","        1.86"
"02-Jan-2009","       13.36","        2.51","        1.85"
"05-Jan-2009","       13.68","        2.58","        1.81"
"06-Jan-2009","       13.64","        2.57","        1.82"
"07-Jan-2009","       12.80","        2.41","        1.93"
"09-Jan-2009","       12.59","        2.37","        1.97"
"12-Jan-2009","       12.32","        2.31","        2.02"
"13-Jan-2009","       12.16","        2.28","        2.04"
"14-Jan-2009","       12.56","        2.36","        1.98"
"15-Jan-2009","       12.10","        2.28","        2.05"
"16-Jan-2009","       12.51","        2.35","        1.98"
"19-Jan-2009","       12.58","        2.37","        1.97"
"20-Jan-2009","       12.36","        2.33","        2.00"
"21-Jan-2009","       11.97","        2.25","        2.07"
"22-Jan-2009","       11.96","        2.26","        2.06"
"23-Jan-2009","       12.27","        2.23","        2.09"
"27-Jan-2009","       12.67","        2.30","        2.02"
"28-Jan-2009","       13.10","        2.37","        1.97"
"29-Jan-2009","       13.17","        2.35","        1.98"
"30-Jan-2009","       13.40","        2.39","        1.95"
"02-Feb-2009","       13.12","        2.30","        2.02"
"03-Feb-2009","       13.20","        2.31","        2.01"
"04-Feb-2009","       13.29","        2.33","        2.00"
"05-Feb-2009","       13.19","        2.31","        2.02"
"06-Feb-2009","       13.49","        2.36","        1.97"
"09-Feb-2009","       13.86","        2.43","        1.92"
"10-Feb-2009","       13.93","        2.44","        1.91"
"11-Feb-2009","       13.89","        2.43","        1.91"
"12-Feb-2009","       13.73","        2.41","        1.94"
"13-Feb-2009","       14.00","        2.45","        1.90"
"16-Feb-2009","       13.52","        2.36","        1.97"
"17-Feb-2009","       13.15","        2.30","        2.02"
"18-Feb-2009","       13.18","        2.30","        2.02"
"19-Feb-2009","       13.24","        2.31","        2.01"
"20-Feb-2009","       12.99","        2.27","        2.05"
"24-Feb-2009","       12.98","        2.27","        2.05"
"25-Feb-2009","       13.11","        2.29","        2.03"
"26-Feb-2009","       13.22","        2.31","        2.01"
"27-Feb-2009","       13.12","        2.29","        2.03"
"02-Mar-2009","       12.70","        2.22","        2.09"
"03-Mar-2009","       12.45","        2.18","        2.14"
"04-Mar-2009","       12.56","        2.19","        2.12"
"05-Mar-2009","       12.23","        2.14","        2.17"
"06-Mar-2009","       12.44","        2.17","        2.14"
"09-Mar-2009","       12.21","        2.14","        2.18"
