"Date","P/E","P/B","Div Yield"
"01-Jan-2016","       21.53","        3.19","        1.45"
"04-Jan-2016","       21.07","        3.13","        1.48"
"05-Jan-2016","       21.05","        3.12","        1.49"
"06-Jan-2016","       20.93","        3.10","        1.49"
"07-Jan-2016","       20.47","        3.04","        1.53"
"08-Jan-2016","       20.56","        3.05","        1.52"
"11-Jan-2016","       20.46","        3.03","        1.53"
"12-Jan-2016","       20.31","        3.01","        1.54"
"13-Jan-2016","       20.45","        3.03","        1.53"
"14-Jan-2016","       20.38","        3.02","        1.53"
"15-Jan-2016","       20.12","        2.98","        1.55"
"18-Jan-2016","       19.86","        2.95","        1.57"
"19-Jan-2016","       20.08","        2.98","        1.56"
"20-Jan-2016","       19.74","        2.93","        1.58"
"21-Jan-2016","       19.65","        2.92","        1.59"
"22-Jan-2016","       20.01","        2.98","        1.56"
"25-Jan-2016","       20.04","        2.98","        1.56"
"27-Jan-2016","       20.05","        2.98","        1.55"
"28-Jan-2016","       19.85","        2.98","        1.56"
"29-Jan-2016","       20.22","        3.03","        1.53"
"01-Feb-2016","       20.22","        3.03","        1.53"
"02-Feb-2016","       19.90","        2.99","        1.55"
"03-Feb-2016","       19.65","        2.95","        1.57"
"04-Feb-2016","       19.76","        2.97","        1.56"
"05-Feb-2016","       19.99","        3.00","        1.54"
"08-Feb-2016","       19.69","        2.96","        1.57"
"09-Feb-2016","       19.46","        2.93","        1.58"
"10-Feb-2016","       19.27","        2.89","        1.60"
"11-Feb-2016","       18.65","        2.80","        1.66"
"12-Feb-2016","       18.67","        2.80","        1.66"
"15-Feb-2016","       19.32","        2.87","        1.61"
"16-Feb-2016","       19.01","        2.83","        1.64"
"17-Feb-2016","       19.18","        2.85","        1.63"
"18-Feb-2016","       19.44","        2.89","        1.61"
"19-Feb-2016","       19.50","        2.89","        1.60"
"22-Feb-2016","       19.56","        2.90","        1.60"
"23-Feb-2016","       19.23","        2.85","        1.63"
"24-Feb-2016","       18.98","        2.82","        1.65"
"25-Feb-2016","       18.85","        2.80","        1.66"
"26-Feb-2016","       19.01","        2.82","        1.65"
"29-Feb-2016","       18.90","        2.81","        1.66"
"01-Mar-2016","       19.53","        2.90","        1.60"
"02-Mar-2016","       19.93","        2.96","        1.57"
"03-Mar-2016","       20.22","        3.00","        1.55"
"04-Mar-2016","       20.24","        3.01","        1.55"
"08-Mar-2016","       20.20","        3.00","        1.55"
"09-Mar-2016","       20.33","        3.02","        1.54"
"10-Mar-2016","       20.20","        3.00","        1.55"
"11-Mar-2016","       20.27","        3.01","        1.54"
